problem,nl_goal,gt_pddl_goal,gt_plan,proposed_plan
train_5,Mine potato from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Potato)
 ))","(move-to t1 t6)
(mine-potato i3 o7 o17 t5)","(move-to t1 t4)
(pick-up i1 o13 t4)
(mine-potato t4 o7 i1 o13 i3 o17)
"
train_5,Mine potato from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Potato)
 ))","(move-to t1 t6)
(mine-potato i3 o7 o17 t5)","(move-to t1 t4)
(pick-up i1 o13 t4)
(move-to t4 t4)
(mine-potato t4 o7 i1 o13 i3 o17)
"
train_5,Mine potato from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Potato)
 ))","(move-to t1 t6)
(mine-potato i3 o7 o17 t5)","(move-to t1 t4)
(pick-up i1 o13 t4)
(mine-potato t4 o7 i1 o13 i3 o17)
"
train_5,Mine potato from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Potato)
 ))","(move-to t1 t6)
(mine-potato i3 o7 o17 t5)","(move-to t1 t4)
(pick-up i1 o13 t4)
(move-to t4 t6)
(mine-potato t6 o7 i1 o13 i3 o17)
"
train_5,Mine potato from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Potato)
 ))","(move-to t1 t6)
(mine-potato i3 o7 o17 t5)","(move-to t1 t4)
(pick-up i1 o13 t4)
(move-to t4 t7)
(mine-potato t7 o7 i1 o13 i3 o17)
"
train_6,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","(move-to t1 t12)
(mine-sugar-cane i3 o10 o17 t11)","(move-to t1 t5)
(pick-up i1 o12 t5)
(move-to t5 t11)
(mine-sugar-cane t11 o10 i1 o12 i3 o17)
"
train_6,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","(move-to t1 t12)
(mine-sugar-cane i3 o10 o17 t11)","(move-to t1 t5)
(pick-up i1 o12 t5)
(move-to t5 t7)
(mine-sugar-cane t7 o10 i1 o12 i3 o17)
"
train_6,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","(move-to t1 t12)
(mine-sugar-cane i3 o10 o17 t11)","(move-to t1 t19)
(pick-up i1 o18 t18)
(move-to t19 t19)
(mine-sugar-cane i1 i3 o13 o18 o17 t18)
"
train_6,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","(move-to t1 t12)
(mine-sugar-cane i3 o10 o17 t11)","(move-to t1 t5)
(pick-up i1 o12 t5)
(move-to t5 t11)
(mine-sugar-cane t11 o10 i1 o12 i3 o17)
"
train_6,Mine sugar cane from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 SugarCane)
 ))","(move-to t1 t12)
(mine-sugar-cane i3 o10 o17 t11)","(move-to t1 t6)
(pick-up i1 o15 t5)
(move-to t6 t6)
(mine-sugar-cane i1 o9 o15 o17 t5)
"
train_7,Mine wool from the map.,"(:goal (and
   (inventory-holding i3 o17)
   (object-of-type o17 Wool)
 ))","(move-to t1 t2)
(pick-up i1 o14 t1)
(move-to t2 t3)
(mine-wool1 i1 i3 o6 o14 o17 t2)","(move-to t1 t9)
(pick-up i1 o14 t8)
(move-to t9 t9)
(mine-wool2 i1 i3 o6 o14 o17 t8)
"
