problem_id,attempt_id,minimum_n_operators,goal,success,plan,sampled_operators
train_0,0,10,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wood))
)",True,"(move-to t1 t8)
(pick-up i1 o12 t8)
(move-to t8 t7)
(mine-wood_2 t7 o4 i1 o12 i3 o17)","['mine-cobblestone_2', 'mine-coal1_0', 'mine-gold-ore1_2', 'chop-wood_2', 'mine-iron-ore1_0', 'mine-coal1_2', 'mine-coal1_1', 'mine-iron-ore1_1', 'mine-feather_1', 'mine-wool2_0', 'mine-wool_0', 'mine-coal_0', 'mine-beetroot1_2', 'mine-feather1_0', 'mine-coal_1', 'mine-feather1_2', 'mine-gold-ore_2', 'mine-beetroot1_0', 'mine-gold-ore1_1', 'mine-beetroot_1', 'mine-cobblestone_0', 'mine-feather_2', 'mine-coal_2', 'mine-cobblestone_1', 'mine-wool_1', 'mine-gold-ore1_0', 'mine-wool2_1', 'chop-wood_0', 'mine-wool2_2', 'mine-beetroot1_1', 'chop-wood_1', 'mine-gold-ore_1', 'mine-wool_2', 'mine-beetroot_2', 'mine-beetroot_0', 'mine-gold-ore_0', 'mine-feather_0', 'mine-feather1_1']"
train_1,0,10,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)",True,"(move-to t1 t9)
(pick-up i1 o14 t9)
(mine-wool1_0 t9 o6 i1 o14 i3 o17)","['mine-cobblestone_2', 'mine-coal1_0', 'mine-gold-ore1_2', 'chop-wood_2', 'mine-iron-ore1_0', 'mine-coal1_2', 'mine-coal1_1', 'mine-iron-ore1_1', 'mine-feather_1', 'mine-wool2_0', 'mine-wool_0', 'mine-coal_0', 'mine-beetroot1_2', 'mine-feather1_0', 'mine-coal_1', 'mine-feather1_2', 'mine-gold-ore_2', 'mine-beetroot1_0', 'mine-gold-ore1_1', 'mine-beetroot_1', 'mine-cobblestone_0', 'mine-feather_2', 'mine-coal_2', 'mine-cobblestone_1', 'mine-wool_1', 'mine-gold-ore1_0', 'mine-wool2_1', 'chop-wood_0', 'mine-wool2_2', 'mine-beetroot1_1', 'chop-wood_1', 'mine-gold-ore_1', 'mine-wool_2', 'mine-beetroot_2', 'mine-beetroot_0', 'mine-gold-ore_0', 'mine-feather_0', 'mine-feather1_1']"
train_2,0,10,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 IronOre))
)",True,"(move-to t1 t14)
(pick-up i1 o11 t14)
(move-to t14 t12)
(mine-iron-ore i1 i3 o1 o11 o17 t12)","['mine-cobblestone_2', 'mine-coal1_0', 'mine-gold-ore1_2', 'chop-wood_2', 'mine-iron-ore1_0', 'mine-coal1_2', 'mine-coal1_1', 'mine-iron-ore1_1', 'mine-feather_1', 'mine-wool2_0', 'mine-wool_0', 'mine-coal_0', 'mine-beetroot1_2', 'mine-feather1_0', 'mine-coal_1', 'mine-feather1_2', 'mine-gold-ore_2', 'mine-beetroot1_0', 'mine-gold-ore1_1', 'mine-beetroot_1', 'mine-cobblestone_0', 'mine-feather_2', 'mine-coal_2', 'mine-cobblestone_1', 'mine-wool_1', 'mine-gold-ore1_0', 'mine-wool2_1', 'chop-wood_0', 'mine-wool2_2', 'mine-beetroot1_1', 'chop-wood_1', 'mine-gold-ore_1', 'mine-wool_2', 'mine-beetroot_2', 'mine-beetroot_0', 'mine-gold-ore_0', 'mine-feather_0', 'mine-feather1_1']"
train_3,0,10,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Potato))
)",True,"(move-to t1 t4)
(pick-up i1 o13 t4)
(mine-potato_0 t4 o7 i1 o13 i3 o17)","['mine-cobblestone_2', 'mine-coal1_0', 'mine-gold-ore1_2', 'chop-wood_2', 'mine-iron-ore1_0', 'mine-coal1_2', 'mine-coal1_1', 'mine-iron-ore1_1', 'mine-feather_1', 'mine-wool2_0', 'mine-wool_0', 'mine-coal_0', 'mine-beetroot1_2', 'mine-feather1_0', 'mine-coal_1', 'mine-feather1_2', 'mine-gold-ore_2', 'mine-beetroot1_0', 'mine-gold-ore1_1', 'mine-beetroot_1', 'mine-cobblestone_0', 'mine-feather_2', 'mine-coal_2', 'mine-cobblestone_1', 'mine-wool_1', 'mine-gold-ore1_0', 'mine-wool2_1', 'chop-wood_0', 'mine-wool2_2', 'mine-beetroot1_1', 'chop-wood_1', 'mine-gold-ore_1', 'mine-wool_2', 'mine-beetroot_2', 'mine-beetroot_0', 'mine-gold-ore_0', 'mine-feather_0', 'mine-feather1_1']"
train_4,0,10,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 SugarCane))
)",True,"(move-to t1 t5)
(pick-up i1 o12 t5)
(move-to t5 t11)
(mine-sugar-cane_2 t11 o10 i1 o12 i3 o17)","['mine-cobblestone_2', 'mine-coal1_0', 'mine-gold-ore1_2', 'chop-wood_2', 'mine-iron-ore1_0', 'mine-coal1_2', 'mine-coal1_1', 'mine-iron-ore1_1', 'mine-feather_1', 'mine-wool2_0', 'mine-wool_0', 'mine-coal_0', 'mine-beetroot1_2', 'mine-feather1_0', 'mine-coal_1', 'mine-feather1_2', 'mine-gold-ore_2', 'mine-beetroot1_0', 'mine-gold-ore1_1', 'mine-beetroot_1', 'mine-cobblestone_0', 'mine-feather_2', 'mine-coal_2', 'mine-cobblestone_1', 'mine-wool_1', 'mine-gold-ore1_0', 'mine-wool2_1', 'chop-wood_0', 'mine-wool2_2', 'mine-beetroot1_1', 'chop-wood_1', 'mine-gold-ore_1', 'mine-wool_2', 'mine-beetroot_2', 'mine-beetroot_0', 'mine-gold-ore_0', 'mine-feather_0', 'mine-feather1_1']"
train_5,0,10,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Potato))
)",True,"(pick-up i1 o4 t1)
(move-to t1 t6)
(mine-potato_0 t6 o7 i1 o4 i3 o17)","['mine-cobblestone_2', 'mine-coal1_0', 'mine-gold-ore1_2', 'chop-wood_2', 'mine-iron-ore1_0', 'mine-coal1_2', 'mine-coal1_1', 'mine-iron-ore1_1', 'mine-feather_1', 'mine-wool2_0', 'mine-wool_0', 'mine-coal_0', 'mine-beetroot1_2', 'mine-feather1_0', 'mine-coal_1', 'mine-feather1_2', 'mine-gold-ore_2', 'mine-beetroot1_0', 'mine-gold-ore1_1', 'mine-beetroot_1', 'mine-cobblestone_0', 'mine-feather_2', 'mine-coal_2', 'mine-cobblestone_1', 'mine-wool_1', 'mine-gold-ore1_0', 'mine-wool2_1', 'chop-wood_0', 'mine-wool2_2', 'mine-beetroot1_1', 'chop-wood_1', 'mine-gold-ore_1', 'mine-wool_2', 'mine-beetroot_2', 'mine-beetroot_0', 'mine-gold-ore_0', 'mine-feather_0', 'mine-feather1_1']"
train_6,0,10,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 SugarCane))
)",True,"(move-to t1 t9)
(pick-up i1 o12 t9)
(move-to t9 t12)
(mine-sugar-cane_2 t12 o10 i1 o12 i3 o17)","['mine-cobblestone_2', 'mine-coal1_0', 'mine-gold-ore1_2', 'chop-wood_2', 'mine-iron-ore1_0', 'mine-coal1_2', 'mine-coal1_1', 'mine-iron-ore1_1', 'mine-feather_1', 'mine-wool2_0', 'mine-wool_0', 'mine-coal_0', 'mine-beetroot1_2', 'mine-feather1_0', 'mine-coal_1', 'mine-feather1_2', 'mine-gold-ore_2', 'mine-beetroot1_0', 'mine-gold-ore1_1', 'mine-beetroot_1', 'mine-cobblestone_0', 'mine-feather_2', 'mine-coal_2', 'mine-cobblestone_1', 'mine-wool_1', 'mine-gold-ore1_0', 'mine-wool2_1', 'chop-wood_0', 'mine-wool2_2', 'mine-beetroot1_1', 'chop-wood_1', 'mine-gold-ore_1', 'mine-wool_2', 'mine-beetroot_2', 'mine-beetroot_0', 'mine-gold-ore_0', 'mine-feather_0', 'mine-feather1_1']"
train_7,0,10,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)",True,"(move-to t1 t2)
(pick-up i1 o14 t2)
(move-to t2 t3)
(mine-wool1_0 t3 o6 i1 o14 i3 o17)","['mine-cobblestone_2', 'mine-coal1_0', 'mine-gold-ore1_2', 'chop-wood_2', 'mine-iron-ore1_0', 'mine-coal1_2', 'mine-coal1_1', 'mine-iron-ore1_1', 'mine-feather_1', 'mine-wool2_0', 'mine-wool_0', 'mine-coal_0', 'mine-beetroot1_2', 'mine-feather1_0', 'mine-coal_1', 'mine-feather1_2', 'mine-gold-ore_2', 'mine-beetroot1_0', 'mine-gold-ore1_1', 'mine-beetroot_1', 'mine-cobblestone_0', 'mine-feather_2', 'mine-coal_2', 'mine-cobblestone_1', 'mine-wool_1', 'mine-gold-ore1_0', 'mine-wool2_1', 'chop-wood_0', 'mine-wool2_2', 'mine-beetroot1_1', 'chop-wood_1', 'mine-gold-ore_1', 'mine-wool_2', 'mine-beetroot_2', 'mine-beetroot_0', 'mine-gold-ore_0', 'mine-feather_0', 'mine-feather1_1']"
train_8,0,10,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 SugarCane))
)",True,"(move-to t1 t6)
(pick-up i1 o12 t6)
(move-to t6 t4)
(mine-sugar-cane_2 t4 o10 i1 o12 i3 o17)","['mine-cobblestone_2', 'mine-coal1_0', 'mine-gold-ore1_2', 'chop-wood_2', 'mine-iron-ore1_0', 'mine-coal1_2', 'mine-coal1_1', 'mine-iron-ore1_1', 'mine-feather_1', 'mine-wool2_0', 'mine-wool_0', 'mine-coal_0', 'mine-beetroot1_2', 'mine-feather1_0', 'mine-coal_1', 'mine-feather1_2', 'mine-gold-ore_2', 'mine-beetroot1_0', 'mine-gold-ore1_1', 'mine-beetroot_1', 'mine-cobblestone_0', 'mine-feather_2', 'mine-coal_2', 'mine-cobblestone_1', 'mine-wool_1', 'mine-gold-ore1_0', 'mine-wool2_1', 'chop-wood_0', 'mine-wool2_2', 'mine-beetroot1_1', 'chop-wood_1', 'mine-gold-ore_1', 'mine-wool_2', 'mine-beetroot_2', 'mine-beetroot_0', 'mine-gold-ore_0', 'mine-feather_0', 'mine-feather1_1']"
train_9,0,10,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 GoldOre))
)",True,"(move-to t1 t14)
(pick-up i1 o11 t14)
(move-to t14 t3)
(mine-gold-ore1_2 t3 o9 i1 o11 i3 o17)","['mine-cobblestone_2', 'mine-coal1_0', 'mine-gold-ore1_2', 'chop-wood_2', 'mine-iron-ore1_0', 'mine-coal1_2', 'mine-coal1_1', 'mine-iron-ore1_1', 'mine-feather_1', 'mine-wool2_0', 'mine-wool_0', 'mine-coal_0', 'mine-beetroot1_2', 'mine-feather1_0', 'mine-coal_1', 'mine-feather1_2', 'mine-gold-ore_2', 'mine-beetroot1_0', 'mine-gold-ore1_1', 'mine-beetroot_1', 'mine-cobblestone_0', 'mine-feather_2', 'mine-coal_2', 'mine-cobblestone_1', 'mine-wool_1', 'mine-gold-ore1_0', 'mine-wool2_1', 'chop-wood_0', 'mine-wool2_2', 'mine-beetroot1_1', 'chop-wood_1', 'mine-gold-ore_1', 'mine-wool_2', 'mine-beetroot_2', 'mine-beetroot_0', 'mine-gold-ore_0', 'mine-feather_0', 'mine-feather1_1']"
