problem_id,attempt_id,minimum_n_operators,goal,success,plan,sampled_operators
train_0,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o BeetrootSoup))))
)",True,"(pick-up i1 o19 t1)
(move-to t1 t3)
(pick-up i2 o20 t3)
(move-to t3 t9)
(craft-beetroot-soup_0 t9 o7 i1 o19 i2 o20 i3 o22)","['craft-stick_0', 'smelt-iron-ore_1', 'craft-stick1_2', 'craft-shears2_2', 'craft-stick_1', 'craft-cooked-potato_2', 'craft-cooked-potato_0', 'craft-paper_0', 'craft-bed1_0', 'craft-iron-ingot_0', 'craft-cooked-potato_1', 'craft-bowl_1', 'craft-bed1_2', 'craft-shears2_1', 'craft-bowl1_1', 'furnace_0', 'cook_0', 'cook_2', 'craft-iron-ingot_1', 'craft-boat_0', 'craft-bowl1_2', 'craft-bowl1_0', 'craft-sword1_1', 'craft-gold-ingot_1', 'craft-gold-ingot_2', 'craft-shears1_0', 'craft-bowl_0', 'craft-shears1_2', 'craft-iron-ingot_2', 'craft-paper_2', 'craft-stick1_0', 'craft-shears2_0', 'craft-sword1_0', 'craft-bed1_1', 'smelt-iron-ore_2', 'smelt-iron-ore_0', 'cook_1', 'craft-boat_2', 'craft-beetroot-soup_0', 'craft-stick1_1', 'craft-sword1_2', 'craft-paper_1', 'craft-boat_1', 'craft-shears1_1', 'craft-bowl_2', 'craft-gold-ingot_0', 'craft-stick_2']"
train_1,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Paper))))
)",True,"(move-to t1 t5)
(pick-up i1 o21 t5)
(move-to t5 t2)
(craft-paper_0 t2 o1 i1 o21 i2 o22)","['craft-stick_0', 'smelt-iron-ore_1', 'craft-stick1_2', 'craft-shears2_2', 'craft-stick_1', 'craft-cooked-potato_2', 'craft-cooked-potato_0', 'craft-paper_0', 'craft-bed1_0', 'craft-iron-ingot_0', 'craft-cooked-potato_1', 'craft-bowl_1', 'craft-bed1_2', 'craft-shears2_1', 'craft-bowl1_1', 'furnace_0', 'cook_0', 'cook_2', 'craft-iron-ingot_1', 'craft-boat_0', 'craft-bowl1_2', 'craft-bowl1_0', 'craft-sword1_1', 'craft-gold-ingot_1', 'craft-gold-ingot_2', 'craft-shears1_0', 'craft-bowl_0', 'craft-shears1_2', 'craft-iron-ingot_2', 'craft-paper_2', 'craft-stick1_0', 'craft-shears2_0', 'craft-sword1_0', 'craft-bed1_1', 'smelt-iron-ore_2', 'smelt-iron-ore_0', 'cook_1', 'craft-boat_2', 'craft-beetroot-soup_0', 'craft-stick1_1', 'craft-sword1_2', 'craft-paper_1', 'craft-boat_1', 'craft-shears1_1', 'craft-bowl_2', 'craft-gold-ingot_0', 'craft-stick_2']"
train_2,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Shears))))
)",True,"(move-to t1 t4)
(pick-up i1 o13 t4)
(move-to t4 t10)
(craft-shears2_2 t10 o3 i1 o13 i2 o22)","['craft-stick_0', 'smelt-iron-ore_1', 'craft-stick1_2', 'craft-shears2_2', 'craft-stick_1', 'craft-cooked-potato_2', 'craft-cooked-potato_0', 'craft-paper_0', 'craft-bed1_0', 'craft-iron-ingot_0', 'craft-cooked-potato_1', 'craft-bowl_1', 'craft-bed1_2', 'craft-shears2_1', 'craft-bowl1_1', 'furnace_0', 'cook_0', 'cook_2', 'craft-iron-ingot_1', 'craft-boat_0', 'craft-bowl1_2', 'craft-bowl1_0', 'craft-sword1_1', 'craft-gold-ingot_1', 'craft-gold-ingot_2', 'craft-shears1_0', 'craft-bowl_0', 'craft-shears1_2', 'craft-iron-ingot_2', 'craft-paper_2', 'craft-stick1_0', 'craft-shears2_0', 'craft-sword1_0', 'craft-bed1_1', 'smelt-iron-ore_2', 'smelt-iron-ore_0', 'cook_1', 'craft-boat_2', 'craft-beetroot-soup_0', 'craft-stick1_1', 'craft-sword1_2', 'craft-paper_1', 'craft-boat_1', 'craft-shears1_1', 'craft-bowl_2', 'craft-gold-ingot_0', 'craft-stick_2']"
train_3,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Paper))))
)",True,"(move-to t1 t14)
(pick-up i1 o21 t14)
(move-to t14 t5)
(craft-paper_0 t5 o1 i1 o21 i2 o22)","['craft-stick_0', 'smelt-iron-ore_1', 'craft-stick1_2', 'craft-shears2_2', 'craft-stick_1', 'craft-cooked-potato_2', 'craft-cooked-potato_0', 'craft-paper_0', 'craft-bed1_0', 'craft-iron-ingot_0', 'craft-cooked-potato_1', 'craft-bowl_1', 'craft-bed1_2', 'craft-shears2_1', 'craft-bowl1_1', 'furnace_0', 'cook_0', 'cook_2', 'craft-iron-ingot_1', 'craft-boat_0', 'craft-bowl1_2', 'craft-bowl1_0', 'craft-sword1_1', 'craft-gold-ingot_1', 'craft-gold-ingot_2', 'craft-shears1_0', 'craft-bowl_0', 'craft-shears1_2', 'craft-iron-ingot_2', 'craft-paper_2', 'craft-stick1_0', 'craft-shears2_0', 'craft-sword1_0', 'craft-bed1_1', 'smelt-iron-ore_2', 'smelt-iron-ore_0', 'cook_1', 'craft-boat_2', 'craft-beetroot-soup_0', 'craft-stick1_1', 'craft-sword1_2', 'craft-paper_1', 'craft-boat_1', 'craft-shears1_1', 'craft-bowl_2', 'craft-gold-ingot_0', 'craft-stick_2']"
train_4,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Arrow))))
)",True,"(move-to t1 t8)
(pick-up i1 o10 t8)
(move-to t8 t3)
(pick-up i2 o11 t3)
(craft-arrow i1 i2 i3 o2 o10 o11 o22 t3)","['craft-stick_0', 'smelt-iron-ore_1', 'craft-stick1_2', 'craft-shears2_2', 'craft-stick_1', 'craft-cooked-potato_2', 'craft-cooked-potato_0', 'craft-paper_0', 'craft-bed1_0', 'craft-iron-ingot_0', 'craft-cooked-potato_1', 'craft-bowl_1', 'craft-bed1_2', 'craft-shears2_1', 'craft-bowl1_1', 'furnace_0', 'cook_0', 'cook_2', 'craft-iron-ingot_1', 'craft-boat_0', 'craft-bowl1_2', 'craft-bowl1_0', 'craft-sword1_1', 'craft-gold-ingot_1', 'craft-gold-ingot_2', 'craft-shears1_0', 'craft-bowl_0', 'craft-shears1_2', 'craft-iron-ingot_2', 'craft-paper_2', 'craft-stick1_0', 'craft-shears2_0', 'craft-sword1_0', 'craft-bed1_1', 'smelt-iron-ore_2', 'smelt-iron-ore_0', 'cook_1', 'craft-boat_2', 'craft-beetroot-soup_0', 'craft-stick1_1', 'craft-sword1_2', 'craft-paper_1', 'craft-boat_1', 'craft-shears1_1', 'craft-bowl_2', 'craft-gold-ingot_0', 'craft-stick_2']"
train_5,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o WoodPlank))))
)",True,"(move-to t1 t4)
(pick-up i1 o8 t4)
(move-to t4 t8)
(craft-wood-plank i1 i2 o1 o8 o21 t8)","['craft-stick_0', 'smelt-iron-ore_1', 'craft-stick1_2', 'craft-shears2_2', 'craft-stick_1', 'craft-cooked-potato_2', 'craft-cooked-potato_0', 'craft-paper_0', 'craft-bed1_0', 'craft-iron-ingot_0', 'craft-cooked-potato_1', 'craft-bowl_1', 'craft-bed1_2', 'craft-shears2_1', 'craft-bowl1_1', 'furnace_0', 'cook_0', 'cook_2', 'craft-iron-ingot_1', 'craft-boat_0', 'craft-bowl1_2', 'craft-bowl1_0', 'craft-sword1_1', 'craft-gold-ingot_1', 'craft-gold-ingot_2', 'craft-shears1_0', 'craft-bowl_0', 'craft-shears1_2', 'craft-iron-ingot_2', 'craft-paper_2', 'craft-stick1_0', 'craft-shears2_0', 'craft-sword1_0', 'craft-bed1_1', 'smelt-iron-ore_2', 'smelt-iron-ore_0', 'cook_1', 'craft-boat_2', 'craft-beetroot-soup_0', 'craft-stick1_1', 'craft-sword1_2', 'craft-paper_1', 'craft-boat_1', 'craft-shears1_1', 'craft-bowl_2', 'craft-gold-ingot_0', 'craft-stick_2']"
train_6,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Shears))))
)",True,"(move-to t1 t4)
(pick-up i1 o13 t4)
(move-to t4 t1)
(craft-shears2_2 t1 o3 i1 o13 i2 o22)","['craft-stick_0', 'smelt-iron-ore_1', 'craft-stick1_2', 'craft-shears2_2', 'craft-stick_1', 'craft-cooked-potato_2', 'craft-cooked-potato_0', 'craft-paper_0', 'craft-bed1_0', 'craft-iron-ingot_0', 'craft-cooked-potato_1', 'craft-bowl_1', 'craft-bed1_2', 'craft-shears2_1', 'craft-bowl1_1', 'furnace_0', 'cook_0', 'cook_2', 'craft-iron-ingot_1', 'craft-boat_0', 'craft-bowl1_2', 'craft-bowl1_0', 'craft-sword1_1', 'craft-gold-ingot_1', 'craft-gold-ingot_2', 'craft-shears1_0', 'craft-bowl_0', 'craft-shears1_2', 'craft-iron-ingot_2', 'craft-paper_2', 'craft-stick1_0', 'craft-shears2_0', 'craft-sword1_0', 'craft-bed1_1', 'smelt-iron-ore_2', 'smelt-iron-ore_0', 'cook_1', 'craft-boat_2', 'craft-beetroot-soup_0', 'craft-stick1_1', 'craft-sword1_2', 'craft-paper_1', 'craft-boat_1', 'craft-shears1_1', 'craft-bowl_2', 'craft-gold-ingot_0', 'craft-stick_2']"
train_7,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o BeetrootSoup))))
)",True,"(move-to t1 t5)
(pick-up i1 o19 t5)
(move-to t5 t10)
(pick-up i2 o20 t10)
(move-to t10 t11)
(craft-beetroot-soup_0 t11 o7 i1 o19 i2 o20 i3 o22)","['craft-stick_0', 'smelt-iron-ore_1', 'craft-stick1_2', 'craft-shears2_2', 'craft-stick_1', 'craft-cooked-potato_2', 'craft-cooked-potato_0', 'craft-paper_0', 'craft-bed1_0', 'craft-iron-ingot_0', 'craft-cooked-potato_1', 'craft-bowl_1', 'craft-bed1_2', 'craft-shears2_1', 'craft-bowl1_1', 'furnace_0', 'cook_0', 'cook_2', 'craft-iron-ingot_1', 'craft-boat_0', 'craft-bowl1_2', 'craft-bowl1_0', 'craft-sword1_1', 'craft-gold-ingot_1', 'craft-gold-ingot_2', 'craft-shears1_0', 'craft-bowl_0', 'craft-shears1_2', 'craft-iron-ingot_2', 'craft-paper_2', 'craft-stick1_0', 'craft-shears2_0', 'craft-sword1_0', 'craft-bed1_1', 'smelt-iron-ore_2', 'smelt-iron-ore_0', 'cook_1', 'craft-boat_2', 'craft-beetroot-soup_0', 'craft-stick1_1', 'craft-sword1_2', 'craft-paper_1', 'craft-boat_1', 'craft-shears1_1', 'craft-bowl_2', 'craft-gold-ingot_0', 'craft-stick_2']"
train_8,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Stick))))
)",True,"(move-to t1 t15)
(pick-up i1 o9 t15)
(move-to t15 t5)
(craft-stick_0 t5 o1 i1 o9 i2 o21)","['craft-stick_0', 'smelt-iron-ore_1', 'craft-stick1_2', 'craft-shears2_2', 'craft-stick_1', 'craft-cooked-potato_2', 'craft-cooked-potato_0', 'craft-paper_0', 'craft-bed1_0', 'craft-iron-ingot_0', 'craft-cooked-potato_1', 'craft-bowl_1', 'craft-bed1_2', 'craft-shears2_1', 'craft-bowl1_1', 'furnace_0', 'cook_0', 'cook_2', 'craft-iron-ingot_1', 'craft-boat_0', 'craft-bowl1_2', 'craft-bowl1_0', 'craft-sword1_1', 'craft-gold-ingot_1', 'craft-gold-ingot_2', 'craft-shears1_0', 'craft-bowl_0', 'craft-shears1_2', 'craft-iron-ingot_2', 'craft-paper_2', 'craft-stick1_0', 'craft-shears2_0', 'craft-sword1_0', 'craft-bed1_1', 'smelt-iron-ore_2', 'smelt-iron-ore_0', 'cook_1', 'craft-boat_2', 'craft-beetroot-soup_0', 'craft-stick1_1', 'craft-sword1_2', 'craft-paper_1', 'craft-boat_1', 'craft-shears1_1', 'craft-bowl_2', 'craft-gold-ingot_0', 'craft-stick_2']"
train_9,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o BeetrootSoup))))
)",True,"(move-to t1 t3)
(pick-up i1 o19 t3)
(move-to t3 t7)
(pick-up i2 o20 t7)
(move-to t7 t8)
(craft-beetroot-soup_0 t8 o7 i1 o19 i2 o20 i3 o22)","['craft-stick_0', 'smelt-iron-ore_1', 'craft-stick1_2', 'craft-shears2_2', 'craft-stick_1', 'craft-cooked-potato_2', 'craft-cooked-potato_0', 'craft-paper_0', 'craft-bed1_0', 'craft-iron-ingot_0', 'craft-cooked-potato_1', 'craft-bowl_1', 'craft-bed1_2', 'craft-shears2_1', 'craft-bowl1_1', 'furnace_0', 'cook_0', 'cook_2', 'craft-iron-ingot_1', 'craft-boat_0', 'craft-bowl1_2', 'craft-bowl1_0', 'craft-sword1_1', 'craft-gold-ingot_1', 'craft-gold-ingot_2', 'craft-shears1_0', 'craft-bowl_0', 'craft-shears1_2', 'craft-iron-ingot_2', 'craft-paper_2', 'craft-stick1_0', 'craft-shears2_0', 'craft-sword1_0', 'craft-bed1_1', 'smelt-iron-ore_2', 'smelt-iron-ore_0', 'cook_1', 'craft-boat_2', 'craft-beetroot-soup_0', 'craft-stick1_1', 'craft-sword1_2', 'craft-paper_1', 'craft-boat_1', 'craft-shears1_1', 'craft-bowl_2', 'craft-gold-ingot_0', 'craft-stick_2']"
