problem,nl_goal,gt_pddl_goal,gt_plan,proposed_plan
train_16,Craft a sword.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Sword)) ))
 )","(move-to t1 t11)
(pick-up i1 o10 t11)
(move-to t11 t4)
(pick-up i2 o12 t4)
(move-to t4 t12)
(craft-sword i1 i2 i3 o2 o10 o12 o24 t12)","(move-to t1 t6)
(pick-up i1 o4 t6)
(move-to t6 t5)
(craft-sword i1 i2 o1 o4 o19 t5)
"
train_17,Craft a bed.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Bed)) ))
 )","(move-to t1 t15)
(pick-up i1 o9 t15)
(move-to t15 t1)
(pick-up i2 o17 t1)
(move-to t1 t2)
(craft-bed i1 i2 i3 o5 o9 o17 o24 t2)","(move-to t1 t5)
(pick-up i1 o4 t5)
(move-to t5 t7)
(pick-up i2 o7 t7)
(move-to t7 t12)
(pick-up i3 o12 t12)
(move-to t12 t16)
(craft-bed t16 o2 i1 o4 i2 o7 i3 o12 o21)"
train_18,Craft a sword.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Sword)) ))
 )","(move-to t1 t10)
(pick-up i1 o10 t10)
(move-to t10 t1)
(pick-up i2 o12 t1)
(move-to t1 t10)
(craft-sword i1 i2 i3 o2 o10 o12 o24 t10)","(move-to t1 t9)
(pick-up i1 o3 t9)
(move-to t9 t6)
(pick-up i2 o2 t6)
(move-to t6 t4)
(craft-sword t4 o1 i1 o3 i2 o2)
"
train_23,Craft a sword.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Sword)) ))
 )","(move-to t1 t15)
(pick-up i1 o10 t15)
(move-to t15 t10)
(pick-up i2 o12 t10)
(move-to t10 t7)
(craft-sword i1 i2 i3 o2 o10 o12 o24 t7)","(move-to t1 t5)
(pick-up i1 o4 t5)
(move-to t5 t10)
(pick-up i2 o5 t10)
(move-to t10 t13)
(craft-sword i1 i2 i3 o3 o4 o5 o23 t13)
"
train_24,Craft a sword.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Sword)) ))
 )","(move-to t1 t14)
(pick-up i1 o10 t14)
(move-to t14 t7)
(pick-up i2 o12 t7)
(move-to t7 t6)
(craft-sword i1 i2 i3 o2 o10 o12 o24 t6)","(move-to t1 t4)
(pick-up i1 o12 t4)
(move-to t4 t10)
(craft-sword t10 o5 i1 o12 i1 o12 i2 o21)
"
train_27,Craft a iron ingot.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o IronIngot)) ))
 )","(move-to t1 t3)
(pick-up i1 o13 t3)
(move-to t3 t15)
(pick-up i2 o14 t15)
(move-to t15 t2)
(craft-iron-ingot i1 i2 i3 o4 o13 o14 o23 t2)","(move-to t1 t5)
(pick-up i1 o5 t5)
(move-to t5 t8)
(craft-iron-ingot i1 i2 o2 o5 o11 t8)
"
train_29,Craft a iron ingot.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o IronIngot)) ))
 )","(move-to t1 t12)
(pick-up i1 o13 t12)
(move-to t12 t7)
(pick-up i2 o14 t7)
(move-to t7 t11)
(craft-iron-ingot i1 i2 i3 o4 o13 o14 o23 t11)","(pick-up i1 o11 t2)
(move-to t2 t7)
(smelt-iron t7 o1 i1 o11)
"
train_31,Craft a bed.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Bed)) ))
 )","(move-to t1 t4)
(pick-up i1 o9 t4)
(move-to t4 t13)
(pick-up i2 o17 t13)
(move-to t13 t7)
(craft-bed i1 i2 i3 o5 o9 o17 o24 t7)","(move-to t1 t5)
(pick-up i1 o5 t5)
(move-to t5 t2)
(pick-up i2 o6 t2)
(move-to t2 t3)
(move-to t3 t4)
(craft-bed i1 i2 i3 o3 o4 o5 o6 o7 t4)
"
train_39,Craft a sword.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Sword)) ))
 )","(move-to t1 t9)
(pick-up i1 o10 t9)
(move-to t9 t13)
(pick-up i2 o12 t13)
(move-to t13 t12)
(craft-sword i1 i2 i3 o2 o10 o12 o24 t12)","(move-to t1 t5)
(pick-up i1 o6 t5)
(move-to t5 t15)
(pick-up i2 o7 t15)
(move-to t15 t9)
(craft-sword i1 i2 i3 o3 o6 o7 o23 t9)
"
train_47,Craft a bed.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Bed)) ))
 )","(move-to t1 t11)
(pick-up i1 o9 t11)
(move-to t11 t3)
(pick-up i2 o17 t3)
(move-to t3 t4)
(craft-bed i1 i2 i3 o5 o9 o17 o24 t4)","(pick-up i1 o7 t1)
(move-to t1 t2)
(pick-up i2 o6 t2)
(move-to t2 t4)
(pick-up i3 o8 t4)
(move-to t4 t7)
(pick-up i4 o5 t7)
(craft-bed t7 o1 i1 o7 i2 o6 i3 o8 i4 o5 i5 o21)
"
train_54,Craft a sword.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Sword)) ))
 )","(move-to t1 t12)
(pick-up i1 o10 t12)
(move-to t12 t2)
(pick-up i2 o12 t2)
(move-to t2 t9)
(craft-sword i1 i2 i3 o2 o10 o12 o24 t9)","(move-to t1 t14)
(pick-up i1 o4 t14)
(craft-sword t14 o3 i1 o4 i2 o19)
"
train_56,Craft a bed.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Bed)) ))
 )","(move-to t1 t1)
(pick-up i1 o9 t1)
(move-to t1 t4)
(pick-up i2 o17 t4)
(move-to t4 t12)
(craft-bed i1 i2 i3 o5 o9 o17 o24 t12)","(move-to t1 t4)
(pick-up i1 o14 t4)
(move-to t4 t7)
(craft-bed t7 o5 i1 o14 i2 o22)
"
train_62,Craft a bed.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Bed)) ))
 )","(move-to t1 t14)
(pick-up i1 o9 t14)
(move-to t14 t6)
(pick-up i2 o17 t6)
(move-to t6 t7)
(craft-bed i1 i2 i3 o5 o9 o17 o24 t7)","(move-to t1 t15)
(pick-up i1 o13 t15)
(move-to t15 t1)
(move-to t1 t3)
(pick-up i2 o14 t3)
(move-to t3 t1)
(move-to t1 t5)
(pick-up i3 o15 t5)
(move-to t5 t1)
(move-to t1 t2)
(craft-bed t2 i1 o13 i2 o14 i3 o15 o23 o24 o25)"
