problem_id,goal,task_success,task_plan,task_plan_success_prefix
train_0,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o BeetrootSoup))))\n)', '(pick-up i1 o19 t1)\n(move-to t1 t3)\n(pick-up i2 o20 t3)\n(move-to t3 t9)\n(craft-beetroot-soup_0 t9 o7 i1 o19 i2 o20 i3 o22)')",True,"pick-up, move-to, pick-up, move-to, craft-beetroot-soup_0","pick-up, move-to, pick-up, move-to, craft-beetroot-soup_0"
train_1,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o Paper))))\n)', '(move-to t1 t5)\n(pick-up i1 o21 t5)\n(move-to t5 t2)\n(craft-paper_0 t2 o1 i1 o21 i2 o22)')",True,"move-to, pick-up, move-to, craft-paper_0","move-to, pick-up, move-to, craft-paper_0"
train_2,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o Shears))))\n)', '(move-to t1 t4)\n(pick-up i1 o13 t4)\n(move-to t4 t10)\n(craft-shears2_2 t10 o3 i1 o13 i2 o22)')",True,"move-to, pick-up, move-to, craft-shears2_2","move-to, pick-up, move-to, craft-shears2_2"
train_3,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o Paper))))\n)', '(move-to t1 t14)\n(pick-up i1 o21 t14)\n(move-to t14 t5)\n(craft-paper_0 t5 o1 i1 o21 i2 o22)')",True,"move-to, pick-up, move-to, craft-paper_0","move-to, pick-up, move-to, craft-paper_0"
train_4,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o Arrow))))\n)', '(move-to t1 t8)\n(pick-up i1 o10 t8)\n(move-to t8 t3)\n(pick-up i2 o11 t3)\n(craft-arrow i1 i2 i3 o2 o10 o11 o22 t3)')",True,"move-to, pick-up, move-to, pick-up, craft-arrow","move-to, pick-up, move-to, pick-up, craft-arrow"
train_5,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o WoodPlank))))\n)', '(move-to t1 t4)\n(pick-up i1 o8 t4)\n(move-to t4 t8)\n(craft-wood-plank i1 i2 o1 o8 o21 t8)')",True,"move-to, pick-up, move-to, craft-wood-plank","move-to, pick-up, move-to, craft-wood-plank"
train_6,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o Shears))))\n)', '(move-to t1 t4)\n(pick-up i1 o13 t4)\n(move-to t4 t1)\n(craft-shears2_2 t1 o3 i1 o13 i2 o22)')",True,"move-to, pick-up, move-to, craft-shears2_2","move-to, pick-up, move-to, craft-shears2_2"
train_7,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o BeetrootSoup))))\n)', '(move-to t1 t5)\n(pick-up i1 o19 t5)\n(move-to t5 t10)\n(pick-up i2 o20 t10)\n(move-to t10 t11)\n(craft-beetroot-soup_0 t11 o7 i1 o19 i2 o20 i3 o22)')",True,"move-to, pick-up, move-to, pick-up, move-to, craft-beetroot-soup_0","move-to, pick-up, move-to, pick-up, move-to, craft-beetroot-soup_0"
train_8,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o Stick))))\n)', '(move-to t1 t15)\n(pick-up i1 o9 t15)\n(move-to t15 t5)\n(craft-stick_0 t5 o1 i1 o9 i2 o21)')",True,"move-to, pick-up, move-to, craft-stick_0","move-to, pick-up, move-to, craft-stick_0"
train_9,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o BeetrootSoup))))\n)', '(move-to t1 t3)\n(pick-up i1 o19 t3)\n(move-to t3 t7)\n(pick-up i2 o20 t7)\n(move-to t7 t8)\n(craft-beetroot-soup_0 t8 o7 i1 o19 i2 o20 i3 o22)')",True,"move-to, pick-up, move-to, pick-up, move-to, craft-beetroot-soup_0","move-to, pick-up, move-to, pick-up, move-to, craft-beetroot-soup_0"
train_10,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o Paper))))\n)', '(pick-up i1 o21 t1)\n(move-to t1 t12)\n(craft-paper_0 t12 o1 i1 o21 i2 o22)')",True,"pick-up, move-to, craft-paper_0","pick-up, move-to, craft-paper_0"
train_11,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o Arrow))))\n)', '(move-to t1 t10)\n(pick-up i1 o10 t10)\n(move-to t10 t3)\n(pick-up i2 o11 t3)\n(move-to t3 t8)\n(craft-arrow i1 i2 i3 o2 o10 o11 o22 t8)')",True,"move-to, pick-up, move-to, pick-up, move-to, craft-arrow","move-to, pick-up, move-to, pick-up, move-to, craft-arrow"
