problem_id,goal,task_success,task_plan,task_plan_success_prefix
train/pick_clean_then_place_in_recep-Lettuce-None-DiningTable-21/trial_T20190908_215554_002650,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o LettuceType)\n\t\t(receptacleType ?r DiningTableType)\n\t\t(inReceptacle ?o ?r)\n\t\t(cleanable ?o)\n\t\t(isClean ?o))))\n)', '(CleanObject_2 agent1 loc_bar_1_bar_1_bar_1_bar_60 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)\n(GrabObject_0 agent1 loc_bar_1_bar_1_bar_1_bar_60 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)\n(PutObjectInReceptacle agent1 loc_bar_0_bar_1_bar_0_bar_60 lettucetype lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232 diningtable__minus_2_dot_096_comma__minus_2_dot_096_comma_3_dot_804_comma_3_dot_804_comma_0_dot_024_comma_0_dot_024)')",False,"CleanObject_2, GrabObject_0, PutObjectInReceptacle",
train/pick_clean_then_place_in_recep-Lettuce-None-DiningTable-21/trial_T20190908_215554_002650,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o LettuceType)\n\t\t(receptacleType ?r DiningTableType)\n\t\t(inReceptacle ?o ?r)\n\t\t(cleanable ?o)\n\t\t(isClean ?o))))\n)', '(GrabObject_0 agent1 loc_bar_1_bar_1_bar_1_bar_60 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)\n(RinseObject_0 agent1 loc_bar_1_bar_1_bar_1_bar_60 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)\n(PlaceObject_0 agent1 loc_bar_0_bar_1_bar_0_bar_60 diningtable__minus_2_dot_096_comma__minus_2_dot_096_comma_3_dot_804_comma_3_dot_804_comma_0_dot_024_comma_0_dot_024 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)')",False,"GrabObject_0, RinseObject_0, PlaceObject_0",GrabObject_0
train/pick_clean_then_place_in_recep-Lettuce-None-DiningTable-21/trial_T20190908_215554_002650,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o LettuceType)\n\t\t(receptacleType ?r DiningTableType)\n\t\t(inReceptacle ?o ?r)\n\t\t(cleanable ?o)\n\t\t(isClean ?o))))\n)', '(GrabObject_0 agent1 loc_bar_1_bar_1_bar_1_bar_60 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)\n(WashObject_2 agent1 loc_bar_1_bar_1_bar_1_bar_60 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)\n(PlaceObject_0 agent1 loc_bar_0_bar_1_bar_0_bar_60 diningtable__minus_2_dot_096_comma__minus_2_dot_096_comma_3_dot_804_comma_3_dot_804_comma_0_dot_024_comma_0_dot_024 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)')",False,"GrabObject_0, WashObject_2, PlaceObject_0",GrabObject_0
train/pick_clean_then_place_in_recep-Lettuce-None-DiningTable-21/trial_T20190908_215554_002650,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o LettuceType)\n\t\t(receptacleType ?r DiningTableType)\n\t\t(inReceptacle ?o ?r)\n\t\t(cleanable ?o)\n\t\t(isClean ?o))))\n)', '(GrabObject_0 agent1 loc_bar_0_bar__minus_8_bar_1_bar_30 lettuce_2_dot_8323224_comma_2_dot_8323224_comma__minus_7_dot_832_comma__minus_7_dot_832_comma_4_dot_98133372_comma_4_dot_98133372)\n(WashObject_0 agent1 loc_bar_0_bar__minus_8_bar_1_bar_30 lettuce_2_dot_8323224_comma_2_dot_8323224_comma__minus_7_dot_832_comma__minus_7_dot_832_comma_4_dot_98133372_comma_4_dot_98133372 lettuce_2_dot_8323224_comma_2_dot_8323224_comma__minus_7_dot_832_comma__minus_7_dot_832_comma_4_dot_98133372_comma_4_dot_98133372)\n(PlaceObject_2 agent1 loc_bar_0_bar_1_bar_0_bar_60 diningtable__minus_2_dot_096_comma__minus_2_dot_096_comma_3_dot_804_comma_3_dot_804_comma_0_dot_024_comma_0_dot_024 lettuce_2_dot_8323224_comma_2_dot_8323224_comma__minus_7_dot_832_comma__minus_7_dot_832_comma_4_dot_98133372_comma_4_dot_98133372)')",False,"GrabObject_0, WashObject_0, PlaceObject_2",GrabObject_0
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220204_504890,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?ot - object)\n(exists (?o - object)\n(exists (?l - location)\n(and \n\t\t(objectAtLocation ?ot ?l)\n\t\t(receptacleType ?r DiningTableType)\n\t\t(inReceptacle ?o ?r)\n\t\t(sliceable ?o)\n\t\t(isSliced ?o))))))\n)', '(GrabObject_0 agent1 loc_bar_0_bar_5_bar_3_bar_45 lettuce__minus_2_dot_3228904_comma__minus_2_dot_3228904_comma_5_dot_4332_comma_5_dot_4332_comma_3_dot_8264_comma_3_dot_8264)\n(SliceObject_1 agent1 loc_bar_0_bar_5_bar_3_bar_45 lettuce__minus_2_dot_3228904_comma__minus_2_dot_3228904_comma_5_dot_4332_comma_5_dot_4332_comma_3_dot_8264_comma_3_dot_8264 lettuce__minus_2_dot_3228904_comma__minus_2_dot_3228904_comma_5_dot_4332_comma_5_dot_4332_comma_3_dot_8264_comma_3_dot_8264)')",False,"GrabObject_0, SliceObject_1",GrabObject_0
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220204_504890,"('(:goal\n\t(exists (?st - location)\n(exists (?r - receptacle)\n(exists (?ot - object)\n(exists (?o - object)\n(exists (?lt - location)\n(exists (?l - object)\n(and \n\t\t(receptacleType ?r DiningTableType)\n\t\t(inReceptacle ?o ?r)\n\t\t(sliceable ?o)\n\t\t(isSliced ?o)\n\t\t(objectType ?ot KnifeType)\n\t\t(objectAtLocation ?ot ?lt)\n\t\t(objectAtLocation ?l ?lt)\n\t\t(objectAtLocation ?l ?st))))))))\n)', '(GrabObject_0 agent1 loc_bar_0_bar_5_bar_3_bar_45 lettuce__minus_2_dot_3228904_comma__minus_2_dot_3228904_comma_5_dot_4332_comma_5_dot_4332_comma_3_dot_8264_comma_3_dot_8264)\n(CutObject_1 agent1 loc_bar_0_bar_5_bar_3_bar_45 lettuce__minus_2_dot_3228904_comma__minus_2_dot_3228904_comma_5_dot_4332_comma_5_dot_4332_comma_3_dot_8264_comma_3_dot_8264 lettuce__minus_2_dot_3228904_comma__minus_2_dot_3228904_comma_5_dot_4332_comma_5_dot_4332_comma_3_dot_8264_comma_3_dot_8264)')",False,"GrabObject_0, CutObject_1",GrabObject_0
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220204_504890,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?ot - object)\n(exists (?o - object)\n(exists (?l - location)\n(and \n\t\t(objectAtLocation ?ot ?l)\n\t\t(receptacleType ?r DiningTableType)\n\t\t(inReceptacle ?o ?r)\n\t\t(sliceable ?o)\n\t\t(isSliced ?o))))))\n)', '(GrabObject_0 agent1 loc_bar_0_bar_5_bar_3_bar_45 lettuce__minus_2_dot_3228904_comma__minus_2_dot_3228904_comma_5_dot_4332_comma_5_dot_4332_comma_3_dot_8264_comma_3_dot_8264)\n(SliceObject_2 drawer_2_dot_9172464_comma_2_dot_9172464_comma_10_dot_13195324_comma_10_dot_13195324_comma_2_dot_8135392_comma_2_dot_8135392 agent1 loc_bar__minus_1_bar_12_bar_1_bar_45 lettuce__minus_2_dot_3228904_comma__minus_2_dot_3228904_comma_5_dot_4332_comma_5_dot_4332_comma_3_dot_8264_comma_3_dot_8264)')",False,"GrabObject_0, SliceObject_2",GrabObject_0
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220204_504890,"('(:goal\n\t(exists (?st - location)\n(exists (?r - receptacle)\n(exists (?ot - object)\n(exists (?o - object)\n(exists (?lt - location)\n(exists (?l - object)\n(and \n\t\t(receptacleType ?r DiningTableType)\n\t\t(inReceptacle ?o ?r)\n\t\t(sliceable ?o)\n\t\t(isSliced ?o)\n\t\t(objectType ?ot KnifeType)\n\t\t(objectAtLocation ?ot ?lt)\n\t\t(objectAtLocation ?l ?lt)\n\t\t(objectAtLocation ?l ?st))))))))\n)', '(GrabObject_0 agent1 loc_bar_1_bar_9_bar_1_bar_45 butterknife_4_dot_09999228_comma_4_dot_09999228_comma_9_dot_14031316_comma_9_dot_14031316_comma_3_dot_2925684_comma_3_dot_2925684)\n(CutObject_2 butterknife_4_dot_09999228_comma_4_dot_09999228_comma_9_dot_14031316_comma_9_dot_14031316_comma_3_dot_2925684_comma_3_dot_2925684 agent1 loc_bar_0_bar_5_bar_3_bar_45 lettuce__minus_2_dot_3228904_comma__minus_2_dot_3228904_comma_5_dot_4332_comma_5_dot_4332_comma_3_dot_8264_comma_3_dot_8264)')",True,"GrabObject_0, CutObject_2","GrabObject_0, CutObject_2"
train/pick_and_place_simple-CreditCard-None-Desk-310/trial_T20190908_033230_602789,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o CreditCardType)\n\t\t(receptacleType ?r DeskType)\n\t\t(inReceptacle ?o ?r))))\n)', '(GrabObject_0 agent1 loc_bar__minus_4_bar__minus_4_bar_2_bar_15 creditcard__minus_4_dot_00150728_comma__minus_4_dot_00150728_comma__minus_8_dot_299288_comma__minus_8_dot_299288_comma_5_dot_38954592_comma_5_dot_38954592)\n(PutObjectInReceptacle agent1 loc_bar_2_bar__minus_8_bar_3_bar_45 creditcardtype creditcard__minus_4_dot_00150728_comma__minus_4_dot_00150728_comma__minus_8_dot_299288_comma__minus_8_dot_299288_comma_5_dot_38954592_comma_5_dot_38954592 desk__minus_3_dot_849575044_comma__minus_3_dot_849575044_comma__minus_8_dot_224_comma__minus_8_dot_224_comma__minus_0_dot_008_comma__minus_0_dot_008)')",True,"GrabObject_0, PutObjectInReceptacle","GrabObject_0, PutObjectInReceptacle"
train/pick_clean_then_place_in_recep-Knife-None-SideTable-3/trial_T20190906_210539_903984,"('(:goal\n\t(exists (?r - receptacle)\n(exists (?o - object)\n(and \n\t\t(objectType ?o KnifeType)\n\t\t(receptacleType ?r CounterTopType)\n\t\t(inReceptacle ?o ?r)\n\t\t(cleanable ?o)\n\t\t(isClean ?o))))\n)', '(PickupObjectInReceptacle agent1 loc_bar_0_bar__minus_5_bar_1_bar_45 knife_2_dot_5463332_comma_2_dot_5463332_comma__minus_5_dot_251532_comma__minus_5_dot_251532_comma_5_dot_41080188_comma_5_dot_41080188 countertop__minus_7_dot_236_comma__minus_7_dot_236_comma_4_dot_728_comma_4_dot_728_comma_5_dot_434_comma_5_dot_434)\n(WashObject_1 sinkbasin__minus_7_dot_34220268_comma__minus_7_dot_34220268_comma__minus_2_dot_168930532_comma__minus_2_dot_168930532_comma_4_dot_16_comma_4_dot_16 agent1 loc_bar__minus_4_bar__minus_3_bar_3_bar_45 knife_2_dot_5463332_comma_2_dot_5463332_comma__minus_5_dot_251532_comma__minus_5_dot_251532_comma_5_dot_41080188_comma_5_dot_41080188)\n(PutObjectInReceptacle agent1 loc_bar__minus_4_bar__minus_8_bar_0_bar_15 knifetype knife_2_dot_5463332_comma_2_dot_5463332_comma__minus_5_dot_251532_comma__minus_5_dot_251532_comma_5_dot_41080188_comma_5_dot_41080188 countertop__minus_7_dot_236_comma__minus_7_dot_236_comma_4_dot_728_comma_4_dot_728_comma_5_dot_434_comma_5_dot_434)')",False,"PickupObjectInReceptacle, WashObject_1, PutObjectInReceptacle","PickupObjectInReceptacle, WashObject_1, PutObjectInReceptacle"
