problem_id,attempt_id,sample_percent,goal,success,plan,sampled_operators
train/pick_clean_then_place_in_recep-Lettuce-None-DiningTable-21/trial_T20190908_215554_002650,0,1.0,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o LettuceType)
		(receptacleType ?r DiningTableType)
		(inReceptacle ?o ?r)
		(cleanable ?o)
		(isClean ?o))))
)",True,"(gotolocation agent1 loc_bar__minus_3_bar__minus_1_bar_2_bar_30 loc_bar_0_bar_1_bar_0_bar_60)
(gotolocation agent1 loc_bar_0_bar_1_bar_0_bar_60 loc_bar_1_bar_1_bar_1_bar_60)
(cleanobject_2 agent1 loc_bar_1_bar_1_bar_1_bar_60 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)
(grabobject_0 agent1 loc_bar_1_bar_1_bar_1_bar_60 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)
(gotolocation agent1 loc_bar_1_bar_1_bar_1_bar_60 loc_bar_0_bar_1_bar_0_bar_60)
(placeobject_0 agent1 loc_bar_0_bar_1_bar_0_bar_60 diningtable__minus_2_dot_096_comma__minus_2_dot_096_comma_3_dot_804_comma_3_dot_804_comma_0_dot_024_comma_0_dot_024 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)","['ChillObject_0', 'HeatObject_1', 'CoolObject_2', 'ChillObject_2', 'DisposeObject_0', 'ThrowObject_1', 'PutObject_1', 'PutObject_2', 'ThrowAwayObject_0', 'MicrowaveObject_1', 'ThrowObject_2', 'PickupObject_0', 'TurnOnObject_0', 'CutObject_2', 'WarmObject_2', 'TurnOffObject_1', 'WarmObject_0', 'CutObject_1', 'TurnObjectOn_2', 'DisposeObject_1', 'PutdownObject_1', 'SliceObject_1', 'TurnOnObject_1', 'ThrowAwayObject_1', 'MicrowaveObject_2', 'DropObject_2', 'OpenObject_2', 'CarryObject_1', 'RinseObject_2', 'CoolObject_0', 'ThrowAwayObject_2', 'MicrowaveObject_0', 'CutObject_0', 'PickupObject_1', 'PutdownObject_2', 'PlaceObject_0', 'CarryObject_2', 'TurnOnObject_2', 'SliceObject_2', 'WarmObject_1', 'RinseObject_0', 'OpenObject_0', 'SliceObject_0', 'WashObject_1', 'GrabObject_0', 'TurnOnLight_1', 'TurnOffObject_0', 'RinseObject_1', 'WashObject_2', 'DisposeObject_2', 'CleanObject_2', 'CarryObject_0', 'TurnOnLamp_0', 'HeatObject_0', 'ThrowObject_0', 'OpenObject_1', 'TurnOnLight_2', 'ChillObject_1', 'HeatObject_2', 'TurnOffObject_2', 'DropObject_0', 'WashObject_0', 'CleanObject_0', 'PutObject_0', 'PlaceObject_2', 'TurnObjectOn_0', 'TurnObjectOn_1', 'PutdownObject_0', 'TurnOnLight_0', 'CoolObject_1', 'CleanObject_1', 'PickupObject_2']"
train/pick_clean_then_place_in_recep-Lettuce-None-DiningTable-21/trial_T20190908_215554_002650,1,0.5,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o LettuceType)
		(receptacleType ?r DiningTableType)
		(inReceptacle ?o ?r)
		(cleanable ?o)
		(isClean ?o))))
)",True,"(gotolocation agent1 loc_bar__minus_3_bar__minus_1_bar_2_bar_30 loc_bar_0_bar_1_bar_0_bar_60)
(gotolocation agent1 loc_bar_0_bar_1_bar_0_bar_60 loc_bar_1_bar_1_bar_1_bar_60)
(grabobject_0 agent1 loc_bar_1_bar_1_bar_1_bar_60 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)
(washobject_2 agent1 loc_bar_1_bar_1_bar_1_bar_60 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)
(gotolocation agent1 loc_bar_1_bar_1_bar_1_bar_60 loc_bar_0_bar_1_bar_0_bar_60)
(placeobject_2 agent1 loc_bar_0_bar_1_bar_0_bar_60 diningtable__minus_2_dot_096_comma__minus_2_dot_096_comma_3_dot_804_comma_3_dot_804_comma_0_dot_024_comma_0_dot_024 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)","['CutObject_1', 'ThrowAwayObject_0', 'CutObject_0', 'TurnOffObject_1', 'PutObject_0', 'ChillObject_1', 'DropObject_0', 'WashObject_2', 'OpenObject_2', 'PutObject_1', 'MicrowaveObject_0', 'HeatObject_1', 'TurnObjectOn_1', 'HeatObject_0', 'MicrowaveObject_2', 'CarryObject_1', 'SliceObject_2', 'PlaceObject_2', 'DisposeObject_2', 'ChillObject_0', 'GrabObject_0', 'RinseObject_2', 'PickupObject_2', 'TurnOffObject_0', 'WarmObject_2', 'TurnOnObject_2', 'CleanObject_0', 'PutdownObject_1', 'TurnObjectOn_0', 'WashObject_1', 'SliceObject_0', 'PutdownObject_2', 'TurnOnLamp_0', 'TurnOffObject_2', 'CutObject_2', 'TurnOnLight_2']"
train/pick_clean_then_place_in_recep-Lettuce-None-DiningTable-21/trial_T20190908_215554_002650,2,0.5,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o LettuceType)
		(receptacleType ?r DiningTableType)
		(inReceptacle ?o ?r)
		(cleanable ?o)
		(isClean ?o))))
)",True,"(gotolocation agent1 loc_bar__minus_3_bar__minus_1_bar_2_bar_30 loc_bar_0_bar_1_bar_0_bar_60)
(gotolocation agent1 loc_bar_0_bar_1_bar_0_bar_60 loc_bar_1_bar_1_bar_1_bar_60)
(grabobject_0 agent1 loc_bar_1_bar_1_bar_1_bar_60 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)
(rinseobject_0 agent1 loc_bar_1_bar_1_bar_1_bar_60 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)
(gotolocation agent1 loc_bar_1_bar_1_bar_1_bar_60 loc_bar_0_bar_1_bar_0_bar_60)
(placeobject_0 agent1 loc_bar_0_bar_1_bar_0_bar_60 diningtable__minus_2_dot_096_comma__minus_2_dot_096_comma_3_dot_804_comma_3_dot_804_comma_0_dot_024_comma_0_dot_024 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)","['ChillObject_2', 'TurnOnLight_0', 'RinseObject_2', 'ChillObject_1', 'PlaceObject_2', 'CoolObject_0', 'GrabObject_0', 'TurnObjectOn_1', 'WashObject_1', 'WarmObject_2', 'WashObject_2', 'PutdownObject_0', 'TurnObjectOn_2', 'HeatObject_1', 'OpenObject_2', 'ThrowObject_0', 'PlaceObject_0', 'OpenObject_0', 'PutObject_1', 'PickupObject_0', 'RinseObject_0', 'TurnOffObject_0', 'TurnOffObject_2', 'PutObject_2', 'SliceObject_1', 'TurnOnLight_1', 'CutObject_0', 'CarryObject_1', 'TurnObjectOn_0', 'TurnOnObject_0', 'DisposeObject_1', 'WashObject_0', 'TurnOnObject_2', 'MicrowaveObject_0', 'SliceObject_0']"
train/pick_clean_then_place_in_recep-Lettuce-None-DiningTable-21/trial_T20190908_215554_002650,3,0.5,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o LettuceType)
		(receptacleType ?r DiningTableType)
		(inReceptacle ?o ?r)
		(cleanable ?o)
		(isClean ?o))))
)",True,"(gotolocation agent1 loc_bar__minus_3_bar__minus_1_bar_2_bar_30 loc_bar_0_bar_1_bar_0_bar_60)
(gotolocation agent1 loc_bar_0_bar_1_bar_0_bar_60 loc_bar_1_bar_1_bar_1_bar_60)
(grabobject_0 agent1 loc_bar_1_bar_1_bar_1_bar_60 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)
(gotolocation agent1 loc_bar_1_bar_1_bar_1_bar_60 loc_bar_0_bar_1_bar_0_bar_60)
(placeobject_0 agent1 loc_bar_0_bar_1_bar_0_bar_60 diningtable__minus_2_dot_096_comma__minus_2_dot_096_comma_3_dot_804_comma_3_dot_804_comma_0_dot_024_comma_0_dot_024 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)
(gotolocation agent1 loc_bar_0_bar_1_bar_0_bar_60 loc_bar_1_bar__minus_2_bar_1_bar_60)
(washobject_1 sinkbasin_3_dot_0292_comma_3_dot_0292_comma__minus_2_dot_754_comma__minus_2_dot_754_comma_3_dot_048_comma_3_dot_048 agent1 loc_bar_1_bar__minus_2_bar_1_bar_60 lettuce_3_dot_12699938_comma_3_dot_12699938_comma_2_dot_279071808_comma_2_dot_279071808_comma_3_dot_0048232_comma_3_dot_0048232)","['TurnOnLamp_0', 'DisposeObject_0', 'PutObject_0', 'MicrowaveObject_0', 'HeatObject_0', 'OpenObject_1', 'TurnOnObject_1', 'ThrowAwayObject_1', 'PlaceObject_0', 'HeatObject_2', 'GrabObject_0', 'CarryObject_0', 'WashObject_1', 'RinseObject_1', 'PlaceObject_2', 'ThrowObject_1', 'RinseObject_2', 'SliceObject_0', 'CutObject_0', 'PutObject_1', 'DropObject_0', 'ThrowObject_2', 'PickupObject_1', 'DropObject_2', 'ChillObject_1', 'TurnOnLight_0', 'HeatObject_1', 'ThrowAwayObject_2', 'CoolObject_2', 'DisposeObject_1', 'WarmObject_1', 'TurnOnObject_2', 'SliceObject_2', 'TurnOffObject_0', 'DisposeObject_2']"
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220204_504890,0,1.0,"(:goal
	(exists (?st - location)
(exists (?r - receptacle)
(exists (?ot - object)
(exists (?o - object)
(exists (?lt - location)
(exists (?l - object)
(and 
		(receptacleType ?r DiningTableType)
		(inReceptacle ?o ?r)
		(sliceable ?o)
		(isSliced ?o)
		(objectType ?ot KnifeType)
		(objectAtLocation ?ot ?lt)
		(objectAtLocation ?l ?lt)
		(objectAtLocation ?l ?st))))))))
)",True,"(gotolocation agent1 loc_bar__minus_1_bar_10_bar_2_bar_30 loc_bar_0_bar_5_bar_3_bar_45)
(sliceobject_0 agent1 loc_bar_0_bar_5_bar_3_bar_45 lettuce__minus_2_dot_3228904_comma__minus_2_dot_3228904_comma_5_dot_4332_comma_5_dot_4332_comma_3_dot_8264_comma_3_dot_8264)","['ChillObject_0', 'HeatObject_1', 'CoolObject_2', 'ChillObject_2', 'DisposeObject_0', 'ThrowObject_1', 'PutObject_1', 'PutObject_2', 'ThrowAwayObject_0', 'MicrowaveObject_1', 'ThrowObject_2', 'PickupObject_0', 'TurnOnObject_0', 'CutObject_2', 'WarmObject_2', 'TurnOffObject_1', 'WarmObject_0', 'CutObject_1', 'TurnObjectOn_2', 'DisposeObject_1', 'PutdownObject_1', 'SliceObject_1', 'TurnOnObject_1', 'ThrowAwayObject_1', 'MicrowaveObject_2', 'DropObject_2', 'OpenObject_2', 'CarryObject_1', 'RinseObject_2', 'CoolObject_0', 'ThrowAwayObject_2', 'MicrowaveObject_0', 'CutObject_0', 'PickupObject_1', 'PutdownObject_2', 'PlaceObject_0', 'CarryObject_2', 'TurnOnObject_2', 'SliceObject_2', 'WarmObject_1', 'OpenObject_0', 'SliceObject_0', 'WashObject_1', 'GrabObject_0', 'TurnOnLight_1', 'TurnOffObject_0', 'RinseObject_1', 'DisposeObject_2', 'CarryObject_0', 'TurnOnLamp_0', 'HeatObject_0', 'ThrowObject_0', 'OpenObject_1', 'TurnOnLight_2', 'ChillObject_1', 'HeatObject_2', 'TurnOffObject_2', 'DropObject_0', 'WashObject_0', 'CleanObject_0', 'PutObject_0', 'PlaceObject_2', 'TurnObjectOn_0', 'TurnObjectOn_1', 'PutdownObject_0', 'TurnOnLight_0', 'CoolObject_1', 'CleanObject_1', 'PickupObject_2']"
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220204_504890,0,1.0,"(:goal
	(exists (?r - receptacle)
(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(and 
		(objectAtLocation ?ot ?l)
		(receptacleType ?r DiningTableType)
		(inReceptacle ?o ?r)
		(sliceable ?o)
		(isSliced ?o))))))
)",True,"(gotolocation agent1 loc_bar__minus_1_bar_10_bar_2_bar_30 loc_bar_0_bar_5_bar_3_bar_45)
(sliceobject_0 agent1 loc_bar_0_bar_5_bar_3_bar_45 lettuce__minus_2_dot_3228904_comma__minus_2_dot_3228904_comma_5_dot_4332_comma_5_dot_4332_comma_3_dot_8264_comma_3_dot_8264)","['ChillObject_0', 'HeatObject_1', 'CoolObject_2', 'ChillObject_2', 'DisposeObject_0', 'ThrowObject_1', 'PutObject_1', 'PutObject_2', 'ThrowAwayObject_0', 'MicrowaveObject_1', 'ThrowObject_2', 'PickupObject_0', 'TurnOnObject_0', 'CutObject_2', 'WarmObject_2', 'TurnOffObject_1', 'WarmObject_0', 'CutObject_1', 'TurnObjectOn_2', 'DisposeObject_1', 'PutdownObject_1', 'SliceObject_1', 'TurnOnObject_1', 'ThrowAwayObject_1', 'MicrowaveObject_2', 'DropObject_2', 'OpenObject_2', 'CarryObject_1', 'RinseObject_2', 'CoolObject_0', 'ThrowAwayObject_2', 'MicrowaveObject_0', 'CutObject_0', 'PickupObject_1', 'PutdownObject_2', 'PlaceObject_0', 'CarryObject_2', 'TurnOnObject_2', 'SliceObject_2', 'WarmObject_1', 'OpenObject_0', 'SliceObject_0', 'WashObject_1', 'GrabObject_0', 'TurnOnLight_1', 'TurnOffObject_0', 'RinseObject_1', 'DisposeObject_2', 'CarryObject_0', 'TurnOnLamp_0', 'HeatObject_0', 'ThrowObject_0', 'OpenObject_1', 'TurnOnLight_2', 'ChillObject_1', 'HeatObject_2', 'TurnOffObject_2', 'DropObject_0', 'WashObject_0', 'CleanObject_0', 'PutObject_0', 'PlaceObject_2', 'TurnObjectOn_0', 'TurnObjectOn_1', 'PutdownObject_0', 'TurnOnLight_0', 'CoolObject_1', 'CleanObject_1', 'PickupObject_2']"
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220204_504890,0,1.0,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(exists (?l - location)
(and 
		(receptacleType ?r DiningTableType)
		(inReceptacle ?o ?r)
		(objectAtLocation ?o ?l)))))
)",False,,"['ChillObject_0', 'HeatObject_1', 'CoolObject_2', 'ChillObject_2', 'DisposeObject_0', 'ThrowObject_1', 'PutObject_1', 'PutObject_2', 'ThrowAwayObject_0', 'MicrowaveObject_1', 'ThrowObject_2', 'PickupObject_0', 'TurnOnObject_0', 'CutObject_2', 'WarmObject_2', 'TurnOffObject_1', 'WarmObject_0', 'CutObject_1', 'TurnObjectOn_2', 'DisposeObject_1', 'PutdownObject_1', 'SliceObject_1', 'TurnOnObject_1', 'ThrowAwayObject_1', 'MicrowaveObject_2', 'DropObject_2', 'OpenObject_2', 'CarryObject_1', 'RinseObject_2', 'CoolObject_0', 'ThrowAwayObject_2', 'MicrowaveObject_0', 'CutObject_0', 'PickupObject_1', 'PutdownObject_2', 'PlaceObject_0', 'CarryObject_2', 'TurnOnObject_2', 'SliceObject_2', 'WarmObject_1', 'OpenObject_0', 'SliceObject_0', 'WashObject_1', 'GrabObject_0', 'TurnOnLight_1', 'TurnOffObject_0', 'RinseObject_1', 'DisposeObject_2', 'CarryObject_0', 'TurnOnLamp_0', 'HeatObject_0', 'ThrowObject_0', 'OpenObject_1', 'TurnOnLight_2', 'ChillObject_1', 'HeatObject_2', 'TurnOffObject_2', 'DropObject_0', 'WashObject_0', 'CleanObject_0', 'PutObject_0', 'PlaceObject_2', 'TurnObjectOn_0', 'TurnObjectOn_1', 'PutdownObject_0', 'TurnOnLight_0', 'CoolObject_1', 'CleanObject_1', 'PickupObject_2']"
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220204_504890,0,1.0,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(receptacleType ?r DiningTableType)
		(inReceptacle ?o ?r))))
)",False,,"['ChillObject_0', 'HeatObject_1', 'CoolObject_2', 'ChillObject_2', 'DisposeObject_0', 'ThrowObject_1', 'PutObject_1', 'PutObject_2', 'ThrowAwayObject_0', 'MicrowaveObject_1', 'ThrowObject_2', 'PickupObject_0', 'TurnOnObject_0', 'CutObject_2', 'WarmObject_2', 'TurnOffObject_1', 'WarmObject_0', 'CutObject_1', 'TurnObjectOn_2', 'DisposeObject_1', 'PutdownObject_1', 'SliceObject_1', 'TurnOnObject_1', 'ThrowAwayObject_1', 'MicrowaveObject_2', 'DropObject_2', 'OpenObject_2', 'CarryObject_1', 'RinseObject_2', 'CoolObject_0', 'ThrowAwayObject_2', 'MicrowaveObject_0', 'CutObject_0', 'PickupObject_1', 'PutdownObject_2', 'PlaceObject_0', 'CarryObject_2', 'TurnOnObject_2', 'SliceObject_2', 'WarmObject_1', 'OpenObject_0', 'SliceObject_0', 'WashObject_1', 'GrabObject_0', 'TurnOnLight_1', 'TurnOffObject_0', 'RinseObject_1', 'DisposeObject_2', 'CarryObject_0', 'TurnOnLamp_0', 'HeatObject_0', 'ThrowObject_0', 'OpenObject_1', 'TurnOnLight_2', 'ChillObject_1', 'HeatObject_2', 'TurnOffObject_2', 'DropObject_0', 'WashObject_0', 'CleanObject_0', 'PutObject_0', 'PlaceObject_2', 'TurnObjectOn_0', 'TurnObjectOn_1', 'PutdownObject_0', 'TurnOnLight_0', 'CoolObject_1', 'CleanObject_1', 'PickupObject_2']"
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220204_504890,1,0.5,"(:goal
	(exists (?st - location)
(exists (?r - receptacle)
(exists (?ot - object)
(exists (?o - object)
(exists (?lt - location)
(exists (?l - object)
(and 
		(receptacleType ?r DiningTableType)
		(inReceptacle ?o ?r)
		(sliceable ?o)
		(isSliced ?o)
		(objectType ?ot KnifeType)
		(objectAtLocation ?ot ?lt)
		(objectAtLocation ?l ?lt)
		(objectAtLocation ?l ?st))))))))
)",True,"(gotolocation agent1 loc_bar__minus_1_bar_10_bar_2_bar_30 loc_bar_0_bar_5_bar_3_bar_45)
(grabobject_0 agent1 loc_bar_0_bar_5_bar_3_bar_45 lettuce__minus_2_dot_3228904_comma__minus_2_dot_3228904_comma_5_dot_4332_comma_5_dot_4332_comma_3_dot_8264_comma_3_dot_8264)
(cutobject_1 agent1 loc_bar_0_bar_5_bar_3_bar_45 lettuce__minus_2_dot_3228904_comma__minus_2_dot_3228904_comma_5_dot_4332_comma_5_dot_4332_comma_3_dot_8264_comma_3_dot_8264 lettuce__minus_2_dot_3228904_comma__minus_2_dot_3228904_comma_5_dot_4332_comma_5_dot_4332_comma_3_dot_8264_comma_3_dot_8264)","['SliceObject_1', 'TurnOnLight_0', 'CoolObject_0', 'HeatObject_1', 'DropObject_2', 'PutdownObject_2', 'CleanObject_0', 'TurnOffObject_2', 'PlaceObject_0', 'WarmObject_2', 'PutdownObject_0', 'CutObject_0', 'TurnOnObject_1', 'HeatObject_2', 'CarryObject_2', 'PlaceObject_2', 'CoolObject_1', 'CutObject_1', 'GrabObject_0', 'PutObject_0', 'SliceObject_2', 'DisposeObject_2', 'ChillObject_0', 'MicrowaveObject_2', 'DropObject_0', 'ThrowAwayObject_0', 'PickupObject_1', 'TurnOnLamp_0', 'CutObject_2', 'CarryObject_1', 'ChillObject_2', 'ThrowAwayObject_2', 'ThrowAwayObject_1', 'TurnOnObject_0']"
train/pick_and_place_simple-LettuceSliced-None-DiningTable-24/trial_T20190906_220204_504890,1,0.5,"(:goal
	(exists (?r - receptacle)
(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(and 
		(objectAtLocation ?ot ?l)
		(receptacleType ?r DiningTableType)
		(inReceptacle ?o ?r)
		(sliceable ?o)
		(isSliced ?o))))))
)",True,"(gotolocation agent1 loc_bar__minus_1_bar_10_bar_2_bar_30 loc_bar_0_bar_5_bar_3_bar_45)
(grabobject_0 agent1 loc_bar_0_bar_5_bar_3_bar_45 lettuce__minus_2_dot_3228904_comma__minus_2_dot_3228904_comma_5_dot_4332_comma_5_dot_4332_comma_3_dot_8264_comma_3_dot_8264)
(cutobject_1 agent1 loc_bar_0_bar_5_bar_3_bar_45 lettuce__minus_2_dot_3228904_comma__minus_2_dot_3228904_comma_5_dot_4332_comma_5_dot_4332_comma_3_dot_8264_comma_3_dot_8264 lettuce__minus_2_dot_3228904_comma__minus_2_dot_3228904_comma_5_dot_4332_comma_5_dot_4332_comma_3_dot_8264_comma_3_dot_8264)","['SliceObject_1', 'TurnOnLight_0', 'CoolObject_0', 'HeatObject_1', 'DropObject_2', 'PutdownObject_2', 'CleanObject_0', 'TurnOffObject_2', 'PlaceObject_0', 'WarmObject_2', 'PutdownObject_0', 'CutObject_0', 'TurnOnObject_1', 'HeatObject_2', 'CarryObject_2', 'PlaceObject_2', 'CoolObject_1', 'CutObject_1', 'GrabObject_0', 'PutObject_0', 'SliceObject_2', 'DisposeObject_2', 'ChillObject_0', 'MicrowaveObject_2', 'DropObject_0', 'ThrowAwayObject_0', 'PickupObject_1', 'TurnOnLamp_0', 'CutObject_2', 'CarryObject_1', 'ChillObject_2', 'ThrowAwayObject_2', 'ThrowAwayObject_1', 'TurnOnObject_0']"
