operator_name,gt_operator,codex_raw_operator,codex_preprocessed_operator,
TurnOnObject,,"
(:action TurnOnObject
        :parameters (?a - agent ?l - location ?o - object)
        :precondition (and
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (toggleable ?o)
            (not (isOn ?o))
        )
        :effect (and
            (isOn ?o)
        )
)
","(:action TurnOnObject_0
        :parameters (?a - agent ?l - location ?o - object)

        :precondition (and 
		(atLocation ?a ?l)
		(objectAtLocation ?o ?l)
		(toggleable ?o)
		(not (isOn ?o))
		)
        :effect (and 
		(isOn ?o)
		)
)",
TurnOnObject,,"
(:action TurnOnObject
        :parameters (?a - agent ?l - location ?o - object ?toolobject - object)
        :precondition (and
            (objectType ?toolobject LightSwitchType)
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (toggleable ?o)
            (not (isOn ?o))
            (holds ?a ?toolobject)
        )
        :effect (and
            (isOn ?o)
        )
)
","(:action TurnOnObject_1
        :parameters (?toolobject - object ?a - agent ?l - location ?o - object)

        :precondition (and 
		(objectType ?toolobject LightSwitchType)
		(atLocation ?a ?l)
		(objectAtLocation ?o ?l)
		(toggleable ?o)
		(not (isOn ?o))
		(holds ?a ?toolobject)
		)
        :effect (and 
		(isOn ?o)
		)
)",
TurnOnObject,,"
(:action TurnOnObject
        :parameters (?a - agent ?l - location ?o - object ?toolreceptacle - receptacle)
        :precondition (and
            (receptacleType ?toolreceptacle LampType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?toolreceptacle ?l)
            (objectAtLocation ?o ?l)
            (toggleable ?o)
            (not (isOn ?o))
            (holds ?a ?o)
        )
        :effect (and
            (isOn ?o)
        )
)
","(:action TurnOnObject_2
        :parameters (?a - agent ?l - location ?toolreceptacle - receptacle ?o - object)

        :precondition (and 
		(atLocation ?a ?l)
		(receptacleAtLocation ?toolreceptacle ?l)
		(objectAtLocation ?o ?l)
		(toggleable ?o)
		(not (isOn ?o))
		(holds ?a ?o)
		)
        :effect (and 
		(isOn ?o)
		)
)",
ExamineObject,,"
;; Operator, ExamineObject.
;; ExamineObject takes an object to examine.
;; This action is applicable to any object.
;; Parameters: ?a - agent, ?l - location of the object; ?o - object to be examined.
;; Preconditions: The agent is at a location and the object is at the same location.
;; Postconditions: The agent has examined the object.
(:action ExamineObject
        :parameters (?a - agent ?l - location ?o - object)
        :precondition (and
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
        )
        :effect (and
            (objectExamined ?o)
        )
    )
",FAILED,
ExamineObject,,"
;; Operator, ExamineObjectWithToolObject.
;; ExamineObjectWithToolObject takes an object to examine and a specific tool of type MagnifyingGlassType.
;; MagnifyingGlassType is an otype. Therefore, the tool is an object.
;; Parameters: ?a - agent, ?l - location of the object; ?o - object to be examined, ?toolobject - object to examine with.
;; Preconditions: The toolobject is a MagnifyingGlassType, the agent is at a location and the object to be examined is at the same location, and the agent is holding the tool.
;; Postconditions: The agent has examined the object.
(:action ExamineObjectWithToolObject
        :parameters (?a - agent ?l - location ?o - object ?toolobject - object)
        :precondition (and
            (objectType ?toolobject MagnifyingGlassType)
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (holds ?a ?toolobject)
        )
        :effect (and
            (objectExamined ?o)
        )
    )
",FAILED,
ExamineObject,,"
;; Operator, ExamineObjectWithToolReceptacle.
;; ExamineObjectWithToolReceptacle takes an object to examine and a specific tool of type MicroscopeType.
;; MicroscopeType is an rtype. Therefore, the tool is a receptacle.
;; Parameters: ?a - agent, ?l - location of the object; ?o - object to be examined, ?toolreceptacle - receptacle to examine with.
;; Preconditions: The toolreceptacle is an MicroscopeType, the agent is at a location and the object to be examined is at the same location, and the agent is holding the object to put in the receptacle.
;; Postconditions: The agent has examined the object.
(:action ExamineObjectWithToolReceptacle
        :parameters (?a - agent ?l - location ?o - object ?toolreceptacle - receptacle)
        :precondition (and
            (receptacleType ?toolreceptacle MicroscopeType)
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (holds ?a ?o)
        )
        :effect (and
            (objectExamined ?o)
        )
    )
",FAILED,
TurnOffObject,,"
;; Operator, TurnOffObject - Using a tool object
;; TurnOffObject using a tool object takes an object that can be turned off and a specific tool of type LightSwitchType.
;; LightSwitchType is an otype. Therefore, the tool is an object.
;; Parameters: ?a - agent, ?l - location of object to be turned off; ?o - object to be turned off, ?toolobject - object to turn off the object with.
;; Preconditions: The toolobject is a LightSwitchType, the agent is at a location and the object to be turned off is at the same location, and the agent is holding the tool.
;; Postconditions: the ?o object is now turned off.
(:action TurnOffObjectWithToolObject
        :parameters (?a - agent ?l - location ?o - object ?toolobject - object)
        :precondition (and
            (objectType ?toolobject LightSwitchType)
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (turnableOff ?o)
            (holds ?a ?toolobject)
        )
        :effect (and
            (not (isOn ?o))
            (not (isToggled ?o))
        )
    )
","(:action TurnOffObject_0
        :parameters (?toolobject - object ?a - agent ?l - location ?o - object)

        :precondition (and 
		(objectType ?toolobject LightSwitchType)
		(atLocation ?a ?l)
		(objectAtLocation ?o ?l)
		(holds ?a ?toolobject)
		)
        :effect (and 
		(not (isOn ?o))
		(not (isToggled ?o))
		)
)",
TurnOffObject,,"
;; Operator, TurnOffObject - Using a tool receptacle
;; TurnOffObject using a tool receptacle takes an object that can be turned off and a specific tool of type StoveKnobType.
;; StoveKnobType is an otype. Therefore, the tool is an object.
;; Parameters: ?a - agent, ?l - location of object to be turned off; ?o - object to be turned off, ?toolreceptacle - receptacle to turn off the object with.
;; Preconditions: The toolreceptacle is a StoveKnobType, the agent is at a location and the object to be turned off is at the same location, and the agent is holding the object.
;; Postconditions: the ?o object is now turned off.
(:action TurnOffObjectWithToolReceptacle
        :parameters (?a - agent ?l - location ?o - object ?toolreceptacle - receptacle)
        :precondition (and
            (receptacleType ?toolreceptacle StoveKnobType)
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (turnableOff ?o)
            (holds ?a ?o)
        )
        :effect (and
            (not (isOn ?o))
            (not (isToggled ?o))
        )
    )
","(:action TurnOffObject_1
        :parameters (?a - agent ?l - location ?o - object)

        :precondition (and 
		(atLocation ?a ?l)
		(objectAtLocation ?o ?l)
		(holds ?a ?o)
		)
        :effect (and 
		(not (isOn ?o))
		(not (isToggled ?o))
		)
)",
TurnOffObject,,"
;; Operator, TurnOffObject - No tool needed
;; TurnOffObject with no tool needed takes an object that can be turned off without any specific tool.
;; Parameters: ?a - agent, ?l - location of object to be turned off; ?o - object to be turned off.
;; Preconditions: The agent is at a location and the object to be turned off is at the same location, and the object is turnable off.
;; Postconditions: the ?o object is now turned off.
(:action TurnOffObjectNoTool
        :parameters (?a - agent ?l - location ?o - object)
        :precondition (and
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (turnableOff ?o)
        )
        :effect (and
            (not (isOn ?o))
            (not (isToggled ?o))
        )
    )
","(:action TurnOffObject_2
        :parameters (?a - agent ?l - location ?o - object)

        :precondition (and 
		(atLocation ?a ?l)
		(objectAtLocation ?o ?l)
		)
        :effect (and 
		(not (isOn ?o))
		(not (isToggled ?o))
		)
)",
OpenObject,"(:action OpenObject
        :parameters (?a - agent ?l - location ?r - receptacle)
        :precondition (and
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (openable ?r)
            
            
            
            
        )
        :effect (and
            (opened ?r)
        )
    )","
;; Operator, OpenObject.
;; OpenObject takes any openable object.
;; Parameters: ?a - agent, ?l - location of the object; ?o - object to be opened.
;; Preconditions: The agent is at a location and the object is at the same location, and the object is openable and not already opened.
;; Postconditions: the ?o object is now opened.
(:action OpenObject
        :parameters (?a - agent ?l - location ?o - object)
        :precondition (and
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (openable ?o)
            (not (opened ?o))
        )
        :effect (and
            (opened ?o)
        )
)
","(:action OpenObject_0
        :parameters (?a - agent ?l - location ?o - receptacle)

        :precondition (and 
		(atLocation ?a ?l)
		(objectAtLocation ?o ?l)
		)
        :effect (and 
		(opened ?o)
		)
)",
