problem_id,attempt_id,minimum_n_operators,goal,success,plan,sampled_operators
train/look_at_obj_in_light-RemoteControl-None-FloorLamp-202/trial_T20190909_014548_223224,0,10,"(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot FloorLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o RemoteControlType)
		(holds ?a ?o))))))
)",True,"(gotolocation agent1 loc_bar__minus_10_bar_6_bar_2_bar_30 loc_bar_4_bar_4_bar_2_bar_60)
(takeobject_0 agent1 loc_bar_4_bar_4_bar_2_bar_60 remotecontrol_3_dot_520442248_comma_3_dot_520442248_comma_2_dot_1829792_comma_2_dot_1829792_comma_0_dot_965454_comma_0_dot_965454)
(gotolocation agent1 loc_bar_4_bar_4_bar_2_bar_60 loc_bar__minus_15_bar_14_bar_0_bar_0)
(turnonlamp_1 agent1 loc_bar__minus_15_bar_14_bar_0_bar_0 floorlamp__minus_14_dot_748_comma__minus_14_dot_748_comma_16_dot_056_comma_16_dot_056_comma_0_dot_0001871585844_comma_0_dot_0001871585844 floorlamp__minus_14_dot_748_comma__minus_14_dot_748_comma_16_dot_056_comma_16_dot_056_comma_0_dot_0001871585844_comma_0_dot_0001871585844)","['ThrowAwayObject_1', 'TurnOnObject_2', 'ChillObject_2', 'SliceObject_0', 'WarmObject_0', 'SliceObject_1', 'WashObject_2', 'PlaceObject_0', 'WashObject_1', 'TurnOnLamp_2', 'CoolObject_1', 'TurnOffObject_1', 'CloseObject_1', 'WarmObject_2', 'ThrowObject_2', 'ThrowObject_1', 'TurnOnObject_1', 'CutObject_2', 'DropObject_1', 'TurnOnLamp_0', 'TurnOnLamp_1', 'SliceObject_2', 'ThrowAwayObject_0', 'CloseObject_0', 'HeatObject_0', 'PlaceObject_2', 'TakeObject_2', 'TurnOnLight_0', 'CloseObject_2', 'ThrowObject_0', 'OpenObject_0', 'ChillObject_1', 'DropObject_0', 'CoolObject_0', 'TurnOffObject_2', 'HeatObject_2', 'TakeObject_0', 'HeatObject_1', 'TurnOffObject_0', 'ChillObject_0', 'WarmObject_1', 'CutObject_0', 'OpenObject_1', 'TurnOnObject_0', 'CoolObject_2', 'PlaceObject_1', 'TakeObject_1', 'CutObject_1', 'OpenObject_2', 'WashObject_0', 'DropObject_2', 'TurnOnLight_1']"
train/look_at_obj_in_light-RemoteControl-None-FloorLamp-208/trial_T20190908_214829_482790,0,10,"(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot FloorLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o RemoteControlType)
		(holds ?a ?o))))))
)",True,"(gotolocation agent1 loc_bar__minus_7_bar_2_bar_2_bar_30 loc_bar_5_bar_3_bar_1_bar_0)
(gotolocation agent1 loc_bar_5_bar_3_bar_1_bar_0 loc_bar__minus_5_bar_8_bar_1_bar_60)
(takeobject_0 agent1 loc_bar__minus_5_bar_8_bar_1_bar_60 remotecontrol__minus_1_dot_614460228_comma__minus_1_dot_614460228_comma_7_dot_75475504_comma_7_dot_75475504_comma_1_dot_569454_comma_1_dot_569454)
(gotolocation agent1 loc_bar__minus_5_bar_8_bar_1_bar_60 loc_bar_5_bar_3_bar_1_bar_0)
(turnonlamp_1 agent1 loc_bar_5_bar_3_bar_1_bar_0 floorlamp_6_dot_84815932_comma_6_dot_84815932_comma_1_dot_49665022_comma_1_dot_49665022_comma_0_dot_0_comma_0_dot_0 floorlamp_6_dot_84815932_comma_6_dot_84815932_comma_1_dot_49665022_comma_1_dot_49665022_comma_0_dot_0_comma_0_dot_0)","['ThrowAwayObject_1', 'TurnOnObject_2', 'ChillObject_2', 'SliceObject_0', 'WarmObject_0', 'SliceObject_1', 'WashObject_2', 'PlaceObject_0', 'WashObject_1', 'TurnOnLamp_2', 'CoolObject_1', 'TurnOffObject_1', 'CloseObject_1', 'WarmObject_2', 'ThrowObject_2', 'ThrowObject_1', 'TurnOnObject_1', 'CutObject_2', 'DropObject_1', 'TurnOnLamp_0', 'TurnOnLamp_1', 'SliceObject_2', 'ThrowAwayObject_0', 'CloseObject_0', 'HeatObject_0', 'PlaceObject_2', 'TakeObject_2', 'TurnOnLight_0', 'CloseObject_2', 'ThrowObject_0', 'OpenObject_0', 'ChillObject_1', 'DropObject_0', 'CoolObject_0', 'TurnOffObject_2', 'HeatObject_2', 'TakeObject_0', 'HeatObject_1', 'TurnOffObject_0', 'ChillObject_0', 'WarmObject_1', 'CutObject_0', 'OpenObject_1', 'TurnOnObject_0', 'CoolObject_2', 'PlaceObject_1', 'TakeObject_1', 'CutObject_1', 'OpenObject_2', 'WashObject_0', 'DropObject_2', 'TurnOnLight_1']"
train/look_at_obj_in_light-Bowl-None-DeskLamp-327/trial_T20190907_094422_792919,0,10,"(:goal
	(exists (?ot - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(holds ?a Bowl)))))
)",False,,"['ThrowAwayObject_1', 'TurnOnObject_2', 'ChillObject_2', 'SliceObject_0', 'WarmObject_0', 'SliceObject_1', 'WashObject_2', 'PlaceObject_0', 'WashObject_1', 'TurnOnLamp_2', 'CoolObject_1', 'TurnOffObject_1', 'CloseObject_1', 'WarmObject_2', 'ThrowObject_2', 'ThrowObject_1', 'TurnOnObject_1', 'CutObject_2', 'DropObject_1', 'TurnOnLamp_0', 'TurnOnLamp_1', 'SliceObject_2', 'ThrowAwayObject_0', 'CloseObject_0', 'HeatObject_0', 'PlaceObject_2', 'TakeObject_2', 'TurnOnLight_0', 'CloseObject_2', 'ThrowObject_0', 'OpenObject_0', 'ChillObject_1', 'DropObject_0', 'CoolObject_0', 'TurnOffObject_2', 'HeatObject_2', 'TakeObject_0', 'HeatObject_1', 'TurnOffObject_0', 'ChillObject_0', 'WarmObject_1', 'CutObject_0', 'OpenObject_1', 'TurnOnObject_0', 'CoolObject_2', 'PlaceObject_1', 'TakeObject_1', 'CutObject_1', 'OpenObject_2', 'WashObject_0', 'DropObject_2', 'TurnOnLight_1']"
train/look_at_obj_in_light-Bowl-None-DeskLamp-327/trial_T20190907_094422_792919,0,10,"(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?o BowlType)
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(holds ?a ?o))))))
)",False,,"['ThrowAwayObject_1', 'TurnOnObject_2', 'ChillObject_2', 'SliceObject_0', 'WarmObject_0', 'SliceObject_1', 'WashObject_2', 'PlaceObject_0', 'WashObject_1', 'TurnOnLamp_2', 'CoolObject_1', 'TurnOffObject_1', 'CloseObject_1', 'WarmObject_2', 'ThrowObject_2', 'ThrowObject_1', 'TurnOnObject_1', 'CutObject_2', 'DropObject_1', 'TurnOnLamp_0', 'TurnOnLamp_1', 'SliceObject_2', 'ThrowAwayObject_0', 'CloseObject_0', 'HeatObject_0', 'PlaceObject_2', 'TakeObject_2', 'TurnOnLight_0', 'CloseObject_2', 'ThrowObject_0', 'OpenObject_0', 'ChillObject_1', 'DropObject_0', 'CoolObject_0', 'TurnOffObject_2', 'HeatObject_2', 'TakeObject_0', 'HeatObject_1', 'TurnOffObject_0', 'ChillObject_0', 'WarmObject_1', 'CutObject_0', 'OpenObject_1', 'TurnOnObject_0', 'CoolObject_2', 'PlaceObject_1', 'TakeObject_1', 'CutObject_1', 'OpenObject_2', 'WashObject_0', 'DropObject_2', 'TurnOnLight_1']"
train/look_at_obj_in_light-Bowl-None-DeskLamp-327/trial_T20190907_094422_792919,0,10,"(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o BowlType)
		(holds ?a ?o))))))
)",False,,"['ThrowAwayObject_1', 'TurnOnObject_2', 'ChillObject_2', 'SliceObject_0', 'WarmObject_0', 'SliceObject_1', 'WashObject_2', 'PlaceObject_0', 'WashObject_1', 'TurnOnLamp_2', 'CoolObject_1', 'TurnOffObject_1', 'CloseObject_1', 'WarmObject_2', 'ThrowObject_2', 'ThrowObject_1', 'TurnOnObject_1', 'CutObject_2', 'DropObject_1', 'TurnOnLamp_0', 'TurnOnLamp_1', 'SliceObject_2', 'ThrowAwayObject_0', 'CloseObject_0', 'HeatObject_0', 'PlaceObject_2', 'TakeObject_2', 'TurnOnLight_0', 'CloseObject_2', 'ThrowObject_0', 'OpenObject_0', 'ChillObject_1', 'DropObject_0', 'CoolObject_0', 'TurnOffObject_2', 'HeatObject_2', 'TakeObject_0', 'HeatObject_1', 'TurnOffObject_0', 'ChillObject_0', 'WarmObject_1', 'CutObject_0', 'OpenObject_1', 'TurnOnObject_0', 'CoolObject_2', 'PlaceObject_1', 'TakeObject_1', 'CutObject_1', 'OpenObject_2', 'WashObject_0', 'DropObject_2', 'TurnOnLight_1']"
train/look_at_obj_in_light-Bowl-None-DeskLamp-327/trial_T20190907_094422_792919,0,10,"(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o BowlType)
		(holds ?a ?o))))))
)",False,,"['ThrowAwayObject_1', 'TurnOnObject_2', 'ChillObject_2', 'SliceObject_0', 'WarmObject_0', 'SliceObject_1', 'WashObject_2', 'PlaceObject_0', 'WashObject_1', 'TurnOnLamp_2', 'CoolObject_1', 'TurnOffObject_1', 'CloseObject_1', 'WarmObject_2', 'ThrowObject_2', 'ThrowObject_1', 'TurnOnObject_1', 'CutObject_2', 'DropObject_1', 'TurnOnLamp_0', 'TurnOnLamp_1', 'SliceObject_2', 'ThrowAwayObject_0', 'CloseObject_0', 'HeatObject_0', 'PlaceObject_2', 'TakeObject_2', 'TurnOnLight_0', 'CloseObject_2', 'ThrowObject_0', 'OpenObject_0', 'ChillObject_1', 'DropObject_0', 'CoolObject_0', 'TurnOffObject_2', 'HeatObject_2', 'TakeObject_0', 'HeatObject_1', 'TurnOffObject_0', 'ChillObject_0', 'WarmObject_1', 'CutObject_0', 'OpenObject_1', 'TurnOnObject_0', 'CoolObject_2', 'PlaceObject_1', 'TakeObject_1', 'CutObject_1', 'OpenObject_2', 'WashObject_0', 'DropObject_2', 'TurnOnLight_1']"
train/look_at_obj_in_light-Bowl-None-DeskLamp-327/trial_T20190907_094422_792919,0,10,"(:goal
	(exists (?ot - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(holds ?a Bowl)))))
)",False,,"['ThrowAwayObject_1', 'TurnOnObject_2', 'ChillObject_2', 'SliceObject_0', 'WarmObject_0', 'SliceObject_1', 'WashObject_2', 'PlaceObject_0', 'WashObject_1', 'TurnOnLamp_2', 'CoolObject_1', 'TurnOffObject_1', 'CloseObject_1', 'WarmObject_2', 'ThrowObject_2', 'ThrowObject_1', 'TurnOnObject_1', 'CutObject_2', 'DropObject_1', 'TurnOnLamp_0', 'TurnOnLamp_1', 'SliceObject_2', 'ThrowAwayObject_0', 'CloseObject_0', 'HeatObject_0', 'PlaceObject_2', 'TakeObject_2', 'TurnOnLight_0', 'CloseObject_2', 'ThrowObject_0', 'OpenObject_0', 'ChillObject_1', 'DropObject_0', 'CoolObject_0', 'TurnOffObject_2', 'HeatObject_2', 'TakeObject_0', 'HeatObject_1', 'TurnOffObject_0', 'ChillObject_0', 'WarmObject_1', 'CutObject_0', 'OpenObject_1', 'TurnOnObject_0', 'CoolObject_2', 'PlaceObject_1', 'TakeObject_1', 'CutObject_1', 'OpenObject_2', 'WashObject_0', 'DropObject_2', 'TurnOnLight_1']"
train/look_at_obj_in_light-Bowl-None-DeskLamp-327/trial_T20190907_094422_792919,0,10,"(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?o BowlType)
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(holds ?a ?o))))))
)",True,"(gotolocation agent1 loc_bar__minus_1_bar__minus_7_bar_2_bar_30 loc_bar__minus_3_bar__minus_10_bar_3_bar_45)
(gotolocation agent1 loc_bar__minus_3_bar__minus_10_bar_3_bar_45 loc_bar__minus_3_bar__minus_9_bar_3_bar_60)
(takeobject_0 agent1 loc_bar__minus_3_bar__minus_9_bar_3_bar_60 bowl__minus_5_dot_82908772_comma__minus_5_dot_82908772_comma__minus_8_dot_76445864_comma__minus_8_dot_76445864_comma_2_dot_7967176_comma_2_dot_7967176)
(gotolocation agent1 loc_bar__minus_3_bar__minus_9_bar_3_bar_60 loc_bar__minus_3_bar__minus_10_bar_3_bar_45)
(turnonlamp_1 agent1 loc_bar__minus_3_bar__minus_10_bar_3_bar_45 desklamp__minus_5_dot_95776844_comma__minus_5_dot_95776844_comma__minus_9_dot_6770506_comma__minus_9_dot_6770506_comma_2_dot_7722584_comma_2_dot_7722584 desklamp__minus_5_dot_95776844_comma__minus_5_dot_95776844_comma__minus_9_dot_6770506_comma__minus_9_dot_6770506_comma_2_dot_7722584_comma_2_dot_7722584)","['ThrowAwayObject_1', 'TurnOnObject_2', 'ChillObject_2', 'SliceObject_0', 'WarmObject_0', 'SliceObject_1', 'WashObject_2', 'PlaceObject_0', 'WashObject_1', 'TurnOnLamp_2', 'CoolObject_1', 'TurnOffObject_1', 'CloseObject_1', 'WarmObject_2', 'ThrowObject_2', 'ThrowObject_1', 'TurnOnObject_1', 'CutObject_2', 'DropObject_1', 'TurnOnLamp_0', 'TurnOnLamp_1', 'SliceObject_2', 'ThrowAwayObject_0', 'CloseObject_0', 'HeatObject_0', 'PlaceObject_2', 'TakeObject_2', 'TurnOnLight_0', 'CloseObject_2', 'ThrowObject_0', 'OpenObject_0', 'ChillObject_1', 'DropObject_0', 'CoolObject_0', 'TurnOffObject_2', 'HeatObject_2', 'TakeObject_0', 'HeatObject_1', 'TurnOffObject_0', 'ChillObject_0', 'WarmObject_1', 'CutObject_0', 'OpenObject_1', 'TurnOnObject_0', 'CoolObject_2', 'PlaceObject_1', 'TakeObject_1', 'CutObject_1', 'OpenObject_2', 'WashObject_0', 'DropObject_2', 'TurnOnLight_1']"
train/look_at_obj_in_light-Bowl-None-DeskLamp-327/trial_T20190907_094422_792919,0,10,"(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o BowlType)
		(holds ?a ?o))))))
)",False,,"['ThrowAwayObject_1', 'TurnOnObject_2', 'ChillObject_2', 'SliceObject_0', 'WarmObject_0', 'SliceObject_1', 'WashObject_2', 'PlaceObject_0', 'WashObject_1', 'TurnOnLamp_2', 'CoolObject_1', 'TurnOffObject_1', 'CloseObject_1', 'WarmObject_2', 'ThrowObject_2', 'ThrowObject_1', 'TurnOnObject_1', 'CutObject_2', 'DropObject_1', 'TurnOnLamp_0', 'TurnOnLamp_1', 'SliceObject_2', 'ThrowAwayObject_0', 'CloseObject_0', 'HeatObject_0', 'PlaceObject_2', 'TakeObject_2', 'TurnOnLight_0', 'CloseObject_2', 'ThrowObject_0', 'OpenObject_0', 'ChillObject_1', 'DropObject_0', 'CoolObject_0', 'TurnOffObject_2', 'HeatObject_2', 'TakeObject_0', 'HeatObject_1', 'TurnOffObject_0', 'ChillObject_0', 'WarmObject_1', 'CutObject_0', 'OpenObject_1', 'TurnOnObject_0', 'CoolObject_2', 'PlaceObject_1', 'TakeObject_1', 'CutObject_1', 'OpenObject_2', 'WashObject_0', 'DropObject_2', 'TurnOnLight_1']"
train/look_at_obj_in_light-Bowl-None-DeskLamp-327/trial_T20190907_094422_792919,0,10,"(:goal
	(exists (?ot - object)
(exists (?o - object)
(exists (?l - location)
(exists (?a - agent)
(and 
		(objectType ?ot DeskLampType)
		(toggleable ?ot)
		(isToggled ?ot)
		(objectAtLocation ?ot ?l)
		(atLocation ?a ?l)
		(objectType ?o BowlType)
		(holds ?a ?o))))))
)",False,,"['ThrowAwayObject_1', 'TurnOnObject_2', 'ChillObject_2', 'SliceObject_0', 'WarmObject_0', 'SliceObject_1', 'WashObject_2', 'PlaceObject_0', 'WashObject_1', 'TurnOnLamp_2', 'CoolObject_1', 'TurnOffObject_1', 'CloseObject_1', 'WarmObject_2', 'ThrowObject_2', 'ThrowObject_1', 'TurnOnObject_1', 'CutObject_2', 'DropObject_1', 'TurnOnLamp_0', 'TurnOnLamp_1', 'SliceObject_2', 'ThrowAwayObject_0', 'CloseObject_0', 'HeatObject_0', 'PlaceObject_2', 'TakeObject_2', 'TurnOnLight_0', 'CloseObject_2', 'ThrowObject_0', 'OpenObject_0', 'ChillObject_1', 'DropObject_0', 'CoolObject_0', 'TurnOffObject_2', 'HeatObject_2', 'TakeObject_0', 'HeatObject_1', 'TurnOffObject_0', 'ChillObject_0', 'WarmObject_1', 'CutObject_0', 'OpenObject_1', 'TurnOnObject_0', 'CoolObject_2', 'PlaceObject_1', 'TakeObject_1', 'CutObject_1', 'OpenObject_2', 'WashObject_0', 'DropObject_2', 'TurnOnLight_1']"
