operator_name,gt_operator,codex_raw_operator,codex_preprocessed_operator,
CookObject,,"(:action CookObject
        :parameters (?a - agent ?l - location ?o - object ?r - receptacle)
        :precondition (and
            (receptacleType ?r StoveBurnerType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (opened ?r)
            (holds ?a ?o)
        )
        :effect (and
            (isHot ?o)
        )
    )
","(:action CookObject
        :parameters (?a - agent ?o - object ?l - location ?r - receptacle)

        :precondition (and 
		(atLocation ?a ?l)
		(receptacleAtLocation ?r ?l)
		(opened ?r)
		(holds ?a ?o)
		)
        :effect (and 
		(isHot ?o)
		)
)",
CoolObject,"(:action CoolObject
        :parameters (?a - agent ?l - location ?r - receptacle ?o - object)
        :precondition (and
            (receptacleType ?r FridgeType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (holds ?a ?o)
        )
        :effect (and
            (isCool ?o)
        )
    )","(:action CoolObject
        :parameters (?a - agent ?l - location ?o - object)
        :precondition (and
            (atLocation ?a ?l)
            (holds ?a ?o)
        )
        :effect (and
            (isCool ?o)
            (not (isHot ?o))
        )
    )
","(:action CoolObject
        :parameters (?a - agent ?o - object ?l - location)

        :precondition (and 
		(atLocation ?a ?l)
		(holds ?a ?o)
		)
        :effect (and 
		(isCool ?o)
		(not (isHot ?o))
		)
)",
slice,,"(:action slice
        :parameters (?a - agent ?slice - object ?knife - agent ?table - location)
        :precondition (and
            (holds ?a ?slice)
            (holds ?knife ?table)
            (sliceable ?slice)
            (receptacleAtLocation ?table ?l)
            (atLocation ?a ?l)
        )
        :effect (and
            (isSliced ?slice)
        )
    )
","(:action slice
        :parameters (?slice - object ?a - agent ?l - location ?knife - agent ?table - object ?table - receptacle)

        :precondition (and 
		(holds ?a ?slice)
		(holds ?knife ?table)
		(sliceable ?slice)
		(receptacleAtLocation ?table ?l)
		(atLocation ?a ?l)
		)
        :effect (and 
		(isSliced ?slice)
		)
)",
ChillObject,,"(:action ChillObject
        :parameters (?a - agent ?l - location ?r - receptacle ?o - object)
        :precondition (and
            (receptacleType ?r FridgeType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (holds ?a ?o)
        )
        :effect (and
            (isCool ?o)
        )
    )
","(:action ChillObject
        :parameters (?a - agent ?o - object ?l - location ?r - receptacle)

        :precondition (and 
		(atLocation ?a ?l)
		(receptacleAtLocation ?r ?l)
		(holds ?a ?o)
		)
        :effect (and 
		(isCool ?o)
		)
)",
HeatFood,,"(:action HeatFood
        :parameters (?a - agent ?l - location ?r - receptacle ?o - object)
        :precondition (and
            (receptacleType ?r StoveBurnerType)
            (inReceptacle ?o ?r)
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
        )
        :effect (and
            (isHot ?o)
        )
    )
","(:action HeatFood
        :parameters (?a - agent ?o - object ?l - location ?r - receptacle)

        :precondition (and 
		(inReceptacle ?o ?r)
		(atLocation ?a ?l)
		(receptacleAtLocation ?r ?l)
		)
        :effect (and 
		(isHot ?o)
		)
)",
SliceObject,"(:action SliceObject
        :parameters (?a - agent ?l - location ?co - object ?ko - object)
        :precondition (and
            (or
                (objectType ?ko KnifeType)
                (objectType ?ko ButterKnifeType)
            )
            (atLocation ?a ?l)
            (objectAtLocation ?co ?l)
            (sliceable ?co)
            (holds ?a ?ko)
        )
        :effect (and
            (isSliced ?co)
        )
    )","(:action SliceObject
        :parameters (?a - agent ?o - object ?l - location ?r - receptacle ?oSliceable - object ?oHolder - object)
        :precondition (and
            (objectType ?o ???ReceptacleType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (holds ?a ?o)
            (isOpen ?r)
            (inReceptacle ?oSliceable ?r)
            (inReceptacleObject ?oHolder ?o)
            (inReceptacleObject ?oHolder ?oSliceable)
            (inReceptacleObject ?o ?oSliceable)
            (sliceable ?oSliceable)
        )
        :effect (and
            (not (isSliced ?oSliceable))
            (objectType ?o ???ReceptacleType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (holds ?a ?o)
            (isOpen ?r)
            (inRe",FAILED,
HeatObject,"(:action HeatObject
        :parameters (?a - agent ?l - location ?r - receptacle ?o - object)
        :precondition (and
            (receptacleType ?r MicrowaveType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (holds ?a ?o)
        )
        :effect (and
            (isHot ?o)
        )
    )","(:action HeatObject
        :parameters (?a - agent ?l - location ?o - object)
        :precondition (and
            (atLocation ?a ?l)
            (objectAtLocation ?o ?l)
            (holds ?a ?o)
        )
        :effect (and
            (isHot ?o)
        )
    )
","(:action HeatObject
        :parameters (?a - agent ?o - object ?l - location)

        :precondition (and 
		(atLocation ?a ?l)
		(objectAtLocation ?o ?l)
		(holds ?a ?o)
		)
        :effect (and 
		(isHot ?o)
		)
)",
RemoveObject,,"(:action RemoveObject
        :parameters (?a - agent ?l - location ?r - receptacle ?o - object)
        :precondition (and
            (receptacleType ?r FridgeType)
            (atLocation ?a ?l)
            (receptacleAtLocation ?r ?l)
            (inReceptacle ?o ?r)
        )
        :effect (and
            (not (holds ?a ?o))
        )
    )
","(:action RemoveObject
        :parameters (?a - agent ?o - object ?l - location ?r - receptacle)

        :precondition (and 
		(atLocation ?a ?l)
		(receptacleAtLocation ?r ?l)
		(inReceptacle ?o ?r)
		)
        :effect (and 
		(not (holds ?a ?o))
		)
)",
SwitchOff,,"(:action SwitchOff
        :parameters (?a - agent ?l - location ?o - object)
        :precondition (and
            (receptacleType ?r FuseBoxType)
            (objectType ?o VCRType)
            (objectAtLocation ?o ?l)
            (atLocation ?a ?r)
        )
        :effect (and
            (not (isOn ?o))
        )
    )
","(:action SwitchOff
        :parameters (?a - agent ?o - object ?l - location ?r - location)

        :precondition (and 
		(objectAtLocation ?o ?l)
		(atLocation ?a ?r)
		)
        :effect (and 
		(not (isOn ?o))
		)
)",
SwitchOn,,"(:action SwitchOn
        :parameters (?a - agent ?o - object ?l - location)
        :precondition (and
            (isOn ?o)
            (holds ?a ?o)
            (openable ?o)
            (openable ?o)
            (atLocation ?a ?l)
        )
        :effect (and
            (heatable ?o)
            (isHot ?o)
        )
    )
","(:action SwitchOn
        :parameters (?a - agent ?o - object ?o - receptacle ?l - location)

        :precondition (and 
		(isOn ?o)
		(holds ?a ?o)
		(openable ?o)
		(openable ?o)
		(atLocation ?a ?l)
		)
        :effect (and 
		(heatable ?o)
		(isHot ?o)
		)
)",
