problem_id,goal,task_success,task_plan,task_plan_success_prefix
train/pick_and_place_simple-TomatoSliced-None-CounterTop-25/trial_T20190908_233907_188674,"(:goal
	(exists (?o1 - object)
(and 
		(sliceable ?o1)
		(isSliced ?o1)))
)",False,"GotoLocation, GotoLocation, PickupObjectInReceptacle, SliceObject",
train/pick_heat_then_place_in_recep-Egg-None-Fridge-17/trial_T20190909_130835_721326,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o EggType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r)
		(heatable ?o)
		(isHot ?o))))
)",False,"GotoLocation, GotoLocation, PickupObjectInReceptacle, GotoLocation, HeatObject",
train/pick_cool_then_place_in_recep-Cup-None-Cabinet-26/trial_T20190909_085908_816209,"(:goal
	(exists (?o - object)
(and 
		(objectType ?o CupType)
		(cleanable ?o)
		(coolable ?o)
		(isCool ?o)))
)",False,"GotoLocation, GotoLocation, PickupObjectInReceptacle, GotoLocation, CoolObject",
train/pick_cool_then_place_in_recep-LettuceSliced-None-SinkBasin-13/trial_T20190908_101527_364763,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o LettuceType)
		(receptacleType ?r SinkBasinType)
		(inReceptacle ?o ?r)
		(sliceable ?o)
		(isSliced ?o))))
)",False,"GotoLocation, PickupObjectInReceptacle, GotoLocation, PutObjectInReceptacle, PickupObjectInReceptacle, SliceObject",
train/pick_cool_then_place_in_recep-Egg-None-Microwave-18/trial_T20190909_113607_998821,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o EggType)
		(receptacleType ?r MicrowaveType)
		(inReceptacle ?o ?r)
		(coolable ?o)
		(isCool ?o))))
)",False,"GotoLocation, GotoLocation, GotoLocation, PickupObjectInReceptacle, GotoLocation, CoolObject, PutObjectInReceptacle",
train/pick_heat_then_place_in_recep-Mug-None-CoffeeMachine-14/trial_T20190907_012116_449794,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o MugType)
		(receptacleType ?r CoffeeMachineType)
		(inReceptacle ?o ?r)
		(heatable ?o)
		(isHot ?o))))
)",False,"GotoLocation, GotoLocation, PickupObjectInReceptacle, HeatObject",
train/pick_cool_then_place_in_recep-PotatoSliced-None-CounterTop-22/trial_T20190909_040642_077525,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o PotatoType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r)
		(coolable ?o)
		(isCool ?o))))
)",False,"GotoLocation, GotoLocation, PickupObjectInReceptacle, GotoLocation, CoolObject, PutObjectInReceptacle",
train/pick_heat_then_place_in_recep-PotatoSliced-None-CounterTop-8/trial_T20190910_080205_480727,"(:goal
	(exists (?o - object)
(and 
		(objectType ?o PotatoType)
		(isSliced ?o)))
)",False,"GotoLocation, PickupObjectNotInReceptacle, GotoLocation, SliceObject",
train/pick_and_place_simple-TomatoSliced-None-SideTable-3/trial_T20190908_091658_623792,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o TomatoType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r)
		(coolable ?o)
		(isCool ?o)
		(sliceable ?o)
		(isSliced ?o))))
)",False,"GotoLocation, GotoLocation, PickupObjectInReceptacle, GotoLocation, PutObjectInReceptacle, GotoLocation, PickupObjectInReceptacle, GotoLocation, SliceObject",
train/pick_cool_then_place_in_recep-BreadSliced-None-SideTable-21/trial_T20190907_101038_416790,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o BreadType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r)
		(coolable ?o)
		(isCool ?o))))
)",False,"GotoLocation, GotoLocation, GotoLocation, PickupObjectInReceptacle, GotoLocation, CoolObject, PutObjectInReceptacle",
