problem_id,attempt_id,sample_percent,goal,success,plan,sampled_operators
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105723_672392,0,1.0,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o AppleType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r)
		(sliceable ?o)
		(isSliced ?o))))
)",False,,"['GoL', 'CookObject', 'Chill', 'pickup', 'GetObject', 'Go', 'HeatObject', 'put', 'SwitchOn', 'Approach', 'returnBox', 'LiftGlass', 'OnObject', 'CoolObject', 'OffObject']"
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105723_672392,1,0.5,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o AppleType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r)
		(sliceable ?o)
		(isSliced ?o))))
)",False,,"['CookObject', 'OnObject', 'Go', 'CoolObject', 'SwitchOn', 'put', 'LiftGlass']"
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105723_672392,2,0.5,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o AppleType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r)
		(sliceable ?o)
		(isSliced ?o))))
)",False,,"['GetObject', 'GoL', 'SwitchOn', 'CoolObject', 'pickup', 'Go', 'CookObject']"
train/pick_and_place_simple-AppleSliced-None-Fridge-30/trial_T20190907_105723_672392,3,0.5,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o AppleType)
		(receptacleType ?r FridgeType)
		(inReceptacle ?o ?r)
		(sliceable ?o)
		(isSliced ?o))))
)",False,,"['pickup', 'CoolObject', 'SwitchOn', 'Go', 'OffObject', 'returnBox', 'GetObject']"
train/pick_and_place_simple-TomatoSliced-None-CounterTop-25/trial_T20190908_233907_188674,0,1.0,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o KnifeType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r)
		(cleanable ?o)
		(isClean ?o))))
)",False,,"['GoL', 'CookObject', 'Chill', 'pickup', 'GetObject', 'Go', 'HeatObject', 'put', 'SwitchOn', 'Approach', 'returnBox', 'LiftGlass', 'OnObject', 'CoolObject', 'OffObject']"
train/pick_and_place_simple-TomatoSliced-None-CounterTop-25/trial_T20190908_233907_188674,1,0.5,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o KnifeType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r)
		(cleanable ?o)
		(isClean ?o))))
)",False,,"['returnBox', 'LiftGlass', 'CoolObject', 'GetObject', 'OnObject', 'SwitchOn', 'HeatObject']"
train/pick_and_place_simple-TomatoSliced-None-CounterTop-25/trial_T20190908_233907_188674,2,0.5,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o KnifeType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r)
		(cleanable ?o)
		(isClean ?o))))
)",False,,"['GetObject', 'put', 'Go', 'LiftGlass', 'pickup', 'GoL', 'OffObject']"
train/pick_and_place_simple-TomatoSliced-None-CounterTop-25/trial_T20190908_233907_188674,3,0.5,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o KnifeType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r)
		(cleanable ?o)
		(isClean ?o))))
)",False,,"['OffObject', 'SwitchOn', 'CookObject', 'GoL', 'put', 'returnBox', 'Approach']"
train/pick_heat_then_place_in_recep-Egg-None-Fridge-17/trial_T20190909_130835_721326,0,1.0,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o EggType)
		(receptacleType ?r MicrowaveType)
		(inReceptacle ?o ?r)
		(heatable ?o)
		(isHot ?o))))
)",False,,"['GoL', 'CookObject', 'Chill', 'pickup', 'GetObject', 'Go', 'HeatObject', 'put', 'SwitchOn', 'Approach', 'returnBox', 'LiftGlass', 'OnObject', 'CoolObject', 'OffObject']"
train/pick_heat_then_place_in_recep-Egg-None-Fridge-17/trial_T20190909_130835_721326,1,0.5,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o EggType)
		(receptacleType ?r MicrowaveType)
		(inReceptacle ?o ?r)
		(heatable ?o)
		(isHot ?o))))
)",False,,"['Chill', 'pickup', 'put', 'CoolObject', 'OffObject', 'GetObject', 'Go']"
train/pick_heat_then_place_in_recep-Egg-None-Fridge-17/trial_T20190909_130835_721326,2,0.5,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o EggType)
		(receptacleType ?r MicrowaveType)
		(inReceptacle ?o ?r)
		(heatable ?o)
		(isHot ?o))))
)",False,,"['Go', 'HeatObject', 'CookObject', 'SwitchOn', 'GetObject', 'Approach', 'LiftGlass']"
train/pick_heat_then_place_in_recep-Egg-None-Fridge-17/trial_T20190909_130835_721326,3,0.5,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o EggType)
		(receptacleType ?r MicrowaveType)
		(inReceptacle ?o ?r)
		(heatable ?o)
		(isHot ?o))))
)",False,,"['OnObject', 'pickup', 'LiftGlass', 'GetObject', 'put', 'SwitchOn', 'returnBox']"
train/pick_heat_then_place_in_recep-TomatoSliced-None-DiningTable-11/trial_T20190918_205827_915892,0,1.0,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o TomatoType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r)
		(isHot ?o))))
)",False,,"['GoL', 'CookObject', 'Chill', 'pickup', 'GetObject', 'Go', 'HeatObject', 'put', 'SwitchOn', 'Approach', 'returnBox', 'LiftGlass', 'OnObject', 'CoolObject', 'OffObject']"
train/pick_heat_then_place_in_recep-TomatoSliced-None-DiningTable-11/trial_T20190918_205827_915892,1,0.5,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o TomatoType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r)
		(isHot ?o))))
)",False,,"['SwitchOn', 'returnBox', 'GetObject', 'OnObject', 'pickup', 'GoL', 'CookObject']"
train/pick_heat_then_place_in_recep-TomatoSliced-None-DiningTable-11/trial_T20190918_205827_915892,2,0.5,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o TomatoType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r)
		(isHot ?o))))
)",False,,"['Approach', 'OnObject', 'LiftGlass', 'CookObject', 'Chill', 'HeatObject', 'pickup']"
train/pick_heat_then_place_in_recep-TomatoSliced-None-DiningTable-11/trial_T20190918_205827_915892,3,0.5,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o TomatoType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r)
		(isHot ?o))))
)",False,,"['pickup', 'GetObject', 'LiftGlass', 'returnBox', 'GoL', 'SwitchOn', 'Approach']"
train/pick_heat_then_place_in_recep-AppleSliced-None-Fridge-24/trial_T20190909_073807_553746,0,1.0,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o AppleType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r)
		(cleanable ?o)
		(isClean ?o))))
)",False,,"['GoL', 'CookObject', 'Chill', 'pickup', 'GetObject', 'Go', 'HeatObject', 'put', 'SwitchOn', 'Approach', 'returnBox', 'LiftGlass', 'OnObject', 'CoolObject', 'OffObject']"
train/pick_heat_then_place_in_recep-AppleSliced-None-Fridge-24/trial_T20190909_073807_553746,1,0.5,"(:goal
	(exists (?r - receptacle)
(exists (?o - object)
(and 
		(objectType ?o AppleType)
		(receptacleType ?r SideTableType)
		(inReceptacle ?o ?r)
		(cleanable ?o)
		(isClean ?o))))
)",False,,"['HeatObject', 'CoolObject', 'GoL', 'CookObject', 'OffObject', 'GetObject', 'LiftGlass']"
