problem_id,goal,task_success,task_plan,task_plan_success_prefix
train_3,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Potato))
)",True,"pick-up, move-right, move-right, move-right, mine-potatoes","pick-up, move-right, move-right, move-right, mine-potatoes"
train_7,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)",False,mine-wool1,
train_12,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Feather))
)",False,"boat-go, pick-up, mine-feather1",
train_14,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Beetroot))
)",False,"move-right, boat-go, pick-up, mine-beetroot",move-right
train_15,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 GoldOre))
)",False,"move-right, move-right, boat-go, pick-up, mine-gold-ore","move-right, move-right"
train_21,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 GoldOre))
)",False,"boat-go, move-left, move-right, pick-up, mine-gold-ore",
train_22,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wood))
)",False,"move-right, boat-go, pick-up, mine-wood",move-right
train_23,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)",False,mine-wool1,
train_24,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Cobblestone))
)",False,"pick-up, mine-cobble",pick-up
train_25,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Feather))
)",False,"move-right, move-right, move-right, boat-go, pick-up, mine-feather1","move-right, move-right, move-right"
train_26,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Feather))
)",False,"boat-go, move-left, boat-go, pick-up, mine-feather1",
train_27,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Coal))
)",False,"boat-go, boat-go, move-left, pick-up, mine-coal1",
train_28,"(:goal
	(and 
		(inventory-holding i3 o16)
		(object-of-type o16 Feather))
)",False,"move-right, move-right, boat-go, pick-up, mine-feather1","move-right, move-right"
train_29,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 SugarCane))
)",False,"boat-go, boat-go, move-right, pick-up, mine-sugar-cane1",
train_33,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)",False,mine-wool1,
train_34,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Potato))
)",False,"move-right, move-right, move-right, boat-go, pick-up, mine-potatoes","move-right, move-right, move-right"
train_35,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 IronOre))
)",False,"move-right, move-right, pick-up, move-right, boat-go, mine-iron-ore","move-right, move-right, pick-up, move-right"
train_37,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)",False,mine-wool1,
train_38,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Feather))
)",False,"boat-go, pick-up, mine-feather1",
train_41,"(:goal
	(and 
		(inventory-holding i2 o16)
		(object-of-type o16 Wool))
)",False,mine-wool1,
train_42,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 IronOre))
)",True,"move-right, pick-up, move-left, mine-iron-ore","move-right, pick-up, move-left, mine-iron-ore"
