problem_id,goal,task_success,task_plan,task_plan_success_prefix
train_3,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Potato))\n)', '(move-to t1 t4)\n(pick-up i1 o13 t4)\n(mine-potatoes t4 o7 i1 o13 i3 o17)')",True,"move-to, pick-up, mine-potatoes","move-to, pick-up, mine-potatoes"
train_4,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17))\n)', '(pick-up i1 o11 t1)\n(craft-stick t1 i1 o11 i3 o17)')",False,"pick-up, craft-stick",pick-up
train_4,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17))\n)', '(pick-up i1 o11 t1)\n(move-to t1 t3)\n(mine-iron-ore i1 i3 o1 o11 o17 t3)')",True,"pick-up, move-to, mine-iron-ore","pick-up, move-to, mine-iron-ore"
train_5,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Potato))\n)', '(pick-up i1 o4 t1)\n(move-to t1 t6)\n(mine-potatoes t6 o7 i1 o4 i3 o17)')",True,"pick-up, move-to, mine-potatoes","pick-up, move-to, mine-potatoes"
train_6,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 SugarCane))\n)', '(move-to t1 t10)\n(pick-up i1 o14 t10)\n(move-to t10 t12)\n(harvest-sugar-cane t12 t12 o10 i1 o14 i3 o17)')",True,"move-to, pick-up, move-to, harvest-sugar-cane","move-to, pick-up, move-to, harvest-sugar-cane"
train_7,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wool))\n)', '(move-to t1 t2)\n(pick-up i1 o14 t2)\n(move-to t2 t3)\n(mine-wool1 t3 o6 i1 o14 i3 o17)')",True,"move-to, pick-up, move-to, mine-wool1","move-to, pick-up, move-to, mine-wool1"
train_8,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 SugarCane))\n)', '(move-to t1 t12)\n(pick-up i1 o14 t12)\n(move-to t12 t4)\n(harvest-sugar-cane t4 t4 o10 i1 o14 i3 o17)')",True,"move-to, pick-up, move-to, harvest-sugar-cane","move-to, pick-up, move-to, harvest-sugar-cane"
train_9,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '(pick-up i1 o3 t1)\n(move-to t1 t3)\n(mine-gold-ore1 t3 o9 i1 o3 i3 o17)')",False,"pick-up, move-to, mine-gold-ore1","pick-up, move-to, mine-gold-ore1"
train_9,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '(move-to t1 t14)\n(pick-up i1 o11 t14)\n(move-to t14 t3)\n(mine-gold-ore t3 o9 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-gold-ore","move-to, pick-up, move-to, mine-gold-ore"
train_10,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Beetroot))\n)', '(move-to t1 t13)\n(pick-up i1 o14 t13)\n(move-to t13 t5)\n(harvest-beetroot t5 o8 i1 o14 i3 o17)')",True,"move-to, pick-up, move-to, harvest-beetroot","move-to, pick-up, move-to, harvest-beetroot"
train_11,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '(move-to t1 t2)\n(pick-up i1 o9 t2)\n(drop t2 i1 o9)\n(mine-gold-ore1 t2 o9 i1 o9 i3 o17)')",False,"move-to, pick-up, drop, mine-gold-ore1","move-to, pick-up"
train_11,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '(move-to t1 t4)\n(pick-up i1 o11 t4)\n(move-to t4 t2)\n(mine-gold-ore t2 o9 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-gold-ore","move-to, pick-up, move-to, mine-gold-ore"
train_12,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-to t1 t9)\n(pick-up i1 o14 t9)\n(move-to t9 t12)\n(mine-feather t12 o5 i1 o14 i3 o17)')",False,"move-to, pick-up, move-to, mine-feather","move-to, pick-up, move-to, mine-feather"
train_14,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Beetroot))\n)', '(move-to t1 t9)\n(pick-up i1 o14 t9)\n(harvest-beetroot t9 o8 i1 o14 i3 o17)')",True,"move-to, pick-up, harvest-beetroot","move-to, pick-up, harvest-beetroot"
train_15,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '(move-to t1 t10)\n(pick-up i1 o11 t10)\n(move-to t10 t3)\n(mine-gold t3 o9 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-gold","move-to, pick-up, move-to, mine-gold"
train_16,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17))\n)', '(move-to t1 t11)\n(pick-up i1 o12 t11)\n(mine-wood t11 i1 o12 i3 o17)')",False,"move-to, pick-up, mine-wood","move-to, pick-up"
