problem_id,attempt_id,sample_percent,goal,success,plan,sampled_operators
train_3,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Potato))
)",True,"(move-to t1 t4)
(pick-up i1 o13 t4)
(mine-potatoes t4 o7 i1 o13 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-gold-ore1', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-wood', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'drop', 'craft-stick', 'harvest-beetroot', 'mine-cane']"
train_4,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17))
)",True,"(pick-up i1 o11 t1)
(craft-stick t1 i1 o11 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-gold-ore1', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-wood', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'drop', 'craft-stick', 'harvest-beetroot', 'mine-cane']"
train_5,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Potato))
)",True,"(pick-up i1 o4 t1)
(move-to t1 t6)
(mine-potatoes t6 o7 i1 o4 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-gold-ore1', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-wood', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'drop', 'harvest-beetroot', 'mine-cane']"
train_6,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 SugarCane))
)",True,"(move-to t1 t10)
(pick-up i1 o14 t10)
(move-to t10 t12)
(harvest-sugar-cane t12 t12 o10 i1 o14 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-gold-ore1', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-wood', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'drop', 'harvest-beetroot', 'mine-cane']"
train_7,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Wool))
)",True,"(move-to t1 t2)
(pick-up i1 o14 t2)
(move-to t2 t3)
(mine-wool1 t3 o6 i1 o14 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-gold-ore1', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-wood', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'drop', 'harvest-beetroot', 'mine-cane']"
train_8,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 SugarCane))
)",True,"(move-to t1 t12)
(pick-up i1 o14 t12)
(move-to t12 t4)
(harvest-sugar-cane t4 t4 o10 i1 o14 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-gold-ore1', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-wood', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'drop', 'harvest-beetroot', 'mine-cane']"
train_9,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 GoldOre))
)",True,"(pick-up i1 o3 t1)
(move-to t1 t3)
(mine-gold-ore1 t3 o9 i1 o3 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-gold-ore1', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-wood', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'drop', 'harvest-beetroot', 'mine-cane']"
train_10,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Beetroot))
)",True,"(move-to t1 t13)
(pick-up i1 o14 t13)
(move-to t13 t5)
(mine-beetroot t5 o8 i1 o14 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-gold-ore1', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-wood', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'drop', 'harvest-beetroot', 'mine-cane']"
train_11,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 GoldOre))
)",True,"(move-to t1 t2)
(pick-up i1 o9 t2)
(drop t2 i1 o9)
(mine-gold-ore1 t2 o9 i1 o9 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-gold-ore1', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-wood', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'drop', 'harvest-beetroot', 'mine-cane']"
train_12,0,1.0,"(:goal
	(and 
		(inventory-holding i3 o17)
		(object-of-type o17 Feather))
)",True,"(move-to t1 t9)
(pick-up i1 o14 t9)
(move-to t9 t12)
(mine-feather t12 o5 i1 o14 i3 o17)","['mine-potatoes', 'mine-potato1', 'mine-cobblestone', 'mine-gold-ore', 'mine-sugar1', 'mine-iron', 'crave-wood', 'up', 'drive', 'mine-gold', 'mine-iron-ore2', 'drop-off', 'mine-wool1', 'harvest-sugar-cane', 'mine-sugar-cane', 'mine-feather', 'down', 'mine-wood', 'mine-beetroot', 'leave', 'mine-feather1', 'place-entity', 'mine-wool', 'mine-potato', 'harvest-beetroot', 'mine-cane']"
