problem_id,goal,task_success,task_plan,task_plan_success_prefix
train_0,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wood))\n)', '(move-to t1 t8)\n(pick-up i1 o12 t8)\n(move-to t8 t7)\n(mine-wood_0 t7 o4 i1 o12 i3 o17)')",True,"move-to, pick-up, move-to, mine-wood_0","move-to, pick-up, move-to, mine-wood_0"
train_1,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wool))\n)', '(move-to t1 t9)\n(pick-up i1 o14 t9)\n(mine-wool_1 t9 o6 i1 o14 i3 o17)')",True,"move-to, pick-up, mine-wool_1","move-to, pick-up, mine-wool_1"
train_2,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 IronOre))\n)', '(move-to t1 t14)\n(pick-up i1 o11 t14)\n(move-to t14 t12)\n(mine-iron-ore i1 i3 o1 o11 o17 t12)')",True,"move-to, pick-up, move-to, mine-iron-ore","move-to, pick-up, move-to, mine-iron-ore"
train_3,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Potato))\n)', '(move-to t1 t4)\n(pick-up i1 o13 t4)\n(mine-potato_0 t4 o7 i1 o13 i3 o17)')",True,"move-to, pick-up, mine-potato_0","move-to, pick-up, mine-potato_0"
train_4,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 SugarCane))\n)', '(move-to t1 t5)\n(pick-up i1 o12 t5)\n(move-to t5 t11)\n(mine-sugar-cane_0 t11 o10 i1 o12 i3 o17)')",True,"move-to, pick-up, move-to, mine-sugar-cane_0","move-to, pick-up, move-to, mine-sugar-cane_0"
train_5,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Potato))\n)', '(pick-up i1 o4 t1)\n(move-to t1 t6)\n(mine-potato_0 t6 o7 i1 o4 i3 o17)')",True,"pick-up, move-to, mine-potato_0","pick-up, move-to, mine-potato_0"
train_6,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 SugarCane))\n)', '(move-to t1 t9)\n(pick-up i1 o12 t9)\n(move-to t9 t12)\n(mine-sugar-cane_0 t12 o10 i1 o12 i3 o17)')",True,"move-to, pick-up, move-to, mine-sugar-cane_0","move-to, pick-up, move-to, mine-sugar-cane_0"
train_7,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wool))\n)', '(move-to t1 t2)\n(pick-up i1 o14 t2)\n(move-to t2 t3)\n(mine-wool_1 t3 o6 i1 o14 i3 o17)')",True,"move-to, pick-up, move-to, mine-wool_1","move-to, pick-up, move-to, mine-wool_1"
train_8,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 SugarCane))\n)', '(move-to t1 t6)\n(pick-up i1 o12 t6)\n(move-to t6 t4)\n(mine-sugar-cane_0 t4 o10 i1 o12 i3 o17)')",True,"move-to, pick-up, move-to, mine-sugar-cane_0","move-to, pick-up, move-to, mine-sugar-cane_0"
train_9,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '(move-to t1 t14)\n(pick-up i1 o11 t14)\n(move-to t14 t3)\n(mine-gold-ore_0 t3 o9 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-gold-ore_0","move-to, pick-up, move-to, mine-gold-ore_0"
train_10,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Beetroot))\n)', '(pick-up i1 o7 t1)\n(move-to t1 t5)\n(mine-beetroot_1 t5 o8 i1 o7 i3 o17)')",True,"pick-up, move-to, mine-beetroot_1","pick-up, move-to, mine-beetroot_1"
train_11,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '(move-to t1 t4)\n(pick-up i1 o11 t4)\n(move-to t4 t2)\n(mine-gold-ore_0 t2 o9 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-gold-ore_0","move-to, pick-up, move-to, mine-gold-ore_0"
train_12,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-to t1 t8)\n(pick-up i1 o12 t8)\n(move-to t8 t12)\n(mine-feather1_2 t12 o5 i1 o12 i3 o17)')",False,"move-to, pick-up, move-to, mine-feather1_2","move-to, pick-up, move-to"
train_12,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-to t1 t10)\n(pick-up i1 o13 t10)\n(move-to t10 t12)\n(mine-feather1_0 t12 o5 i1 o13 i3 o17)')",True,"move-to, pick-up, move-to, mine-feather1_0","move-to, pick-up, move-to, mine-feather1_0"
train_12,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Feather))\n)', '(move-to t1 t8)\n(pick-up i1 o12 t8)\n(move-to t8 t12)\n(mine-feather_0_1 t12 o5 i1 o12 i3 o17)')",False,"move-to, pick-up, move-to, mine-feather_0_1","move-to, pick-up, move-to"
train_13,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Coal))\n)', '(move-to t1 t15)\n(pick-up i1 o11 t15)\n(move-to t15 t10)\n(mine-coal_2 t10 o2 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-coal_2","move-to, pick-up, move-to, mine-coal_2"
train_14,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Beetroot))\n)', '(move-to t1 t9)\n(pick-up i1 o14 t9)\n(mine-beetroot_1 t9 o8 i1 o14 i3 o17)')",True,"move-to, pick-up, mine-beetroot_1","move-to, pick-up, mine-beetroot_1"
train_15,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '(move-to t1 t10)\n(pick-up i1 o11 t10)\n(move-to t10 t3)\n(mine-gold-ore_0 t3 o9 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-gold-ore_0","move-to, pick-up, move-to, mine-gold-ore_0"
train_16,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 IronOre))\n)', '(move-to t1 t15)\n(pick-up i1 o11 t15)\n(move-to t15 t5)\n(mine-iron-ore i1 i3 o1 o11 o17 t5)')",True,"move-to, pick-up, move-to, mine-iron-ore","move-to, pick-up, move-to, mine-iron-ore"
train_17,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 IronOre))\n)', '(move-to t1 t12)\n(pick-up i1 o11 t12)\n(move-to t12 t15)\n(mine-iron-ore i1 i3 o1 o11 o17 t15)')",True,"move-to, pick-up, move-to, mine-iron-ore","move-to, pick-up, move-to, mine-iron-ore"
train_18,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 IronOre))\n)', '(move-to t1 t5)\n(pick-up i1 o11 t5)\n(move-to t5 t10)\n(mine-iron-ore i1 i3 o1 o11 o17 t10)')",True,"move-to, pick-up, move-to, mine-iron-ore","move-to, pick-up, move-to, mine-iron-ore"
train_19,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '(move-to t1 t8)\n(pick-up i1 o11 t8)\n(move-to t8 t11)\n(mine-gold-ore_0 t11 o9 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-gold-ore_0","move-to, pick-up, move-to, mine-gold-ore_0"
train_20,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Beetroot))\n)', '(pick-up i1 o1 t1)\n(move-to t1 t4)\n(mine-beetroot_1 t4 o8 i1 o1 i3 o17)')",True,"pick-up, move-to, mine-beetroot_1","pick-up, move-to, mine-beetroot_1"
train_21,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 GoldOre))\n)', '(move-to t1 t7)\n(pick-up i1 o11 t7)\n(move-to t7 t2)\n(mine-gold-ore_0 t2 o9 i1 o11 i3 o17)')",True,"move-to, pick-up, move-to, mine-gold-ore_0","move-to, pick-up, move-to, mine-gold-ore_0"
train_22,"('(:goal\n\t(and \n\t\t(inventory-holding i3 o17)\n\t\t(object-of-type o17 Wood))\n)', '(move-to t1 t9)\n(pick-up i1 o12 t9)\n(move-to t9 t2)\n(mine-wood_0 t2 o4 i1 o12 i3 o17)')",True,"move-to, pick-up, move-to, mine-wood_0","move-to, pick-up, move-to, mine-wood_0"
