problem,nl_goal,gt_pddl_goal,gt_plan,proposed_plan
train_3,Craft a paper.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Paper)) ))
 )","(move-to t1 t14)
(pick-up i1 o21 t14)
(move-to t14 t5)
(craft-paper i1 i3 o1 o21 o24 t5)","(move-to t1 t5)
(pick-up i1 o21 t5)
(move-to t5 t2)
(craft-paper i1 i3 o1 o21 o24 t2)
"
train_4,Craft a arrow.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Arrow)) ))
 )","(move-to t1 t8)
(pick-up i1 o10 t8)
(move-to t8 t3)
(pick-up i2 o11 t3)
(move-to t3 t3)
(craft-arrow i1 i2 i3 o2 o10 o11 o24 t3)","(move-to t1 t4)
(pick-up i1 o4 t4)
(move-to t4 t6)
(craft-arrow i1 i3 o2 o4 o23 t6)
"
train_5,Craft a wood plank.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o WoodPlank)) ))
 )","(move-to t1 t4)
(pick-up i1 o8 t4)
(move-to t4 t8)
(craft-wood-plank i1 i3 o1 o8 o23 t8)","(move-to t1 t6)
(pick-up i1 o22 t6)
(move-to t6 t4)
(craft-wood-plank i1 i3 o2 o22 o24 t4)
"
train_6,Craft a shears.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Shears)) ))
 )","(move-to t1 t7)
(pick-up i1 o12 t7)
(move-to t7 t1)
(craft-shears1 i1 i3 o3 o12 o24 t1)","(move-to t1 t6)
(pick-up i1 o21 t6)
(move-to t6 t11)
(craft-shears2 i1 i3 o3 o21 o24 t11)
"
train_7,Craft a beetroot soup.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o BeetrootSoup)) ))
 )","(move-to t1 t5)
(pick-up i1 o19 t5)
(move-to t5 t10)
(pick-up i2 o20 t10)
(move-to t10 t11)
(craft-beetroot-soup i1 i2 i3 o7 o19 o20 o24 t11)","(move-to t1 t1)
(pick-up i1 o19 t1)
(move-to t1 t3)
(pick-up i2 o20 t3)
(move-to t3 t9)
(craft-beetroot-soup i1 i2 i3 o7 o19 o20 o24 t9)
"
train_8,Craft a stick.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Stick)) ))
 )","(move-to t1 t15)
(pick-up i1 o9 t15)
(move-to t15 t5)
(craft-stick i1 i3 o1 o9 o23 t5)","(move-to t1 t11)
(pick-up i1 o4 t11)
(move-to t11 t12)
(craft-stick1 i1 i3 o4 o24 t12)
"
train_9,Craft a beetroot soup.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o BeetrootSoup)) ))
 )","(move-to t1 t3)
(pick-up i1 o19 t3)
(move-to t3 t7)
(pick-up i2 o20 t7)
(move-to t7 t8)
(craft-beetroot-soup i1 i2 i3 o7 o19 o20 o24 t8)","(move-to t1 t1)
(pick-up i1 o19 t1)
(move-to t1 t3)
(pick-up i2 o20 t3)
(move-to t3 t9)
(craft-beetroot-soup i1 i2 i3 o7 o19 o20 o24 t9)
"
train_10,Craft a paper.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Paper)) ))
 )","(move-to t1 t1)
(pick-up i1 o21 t1)
(move-to t1 t12)
(craft-paper i1 i3 o1 o21 o24 t12)","(move-to t1 t4)
(pick-up i2 o21 t4)
(move-to t4 t2)
(craft-paper i2 i3 o1 o21 o24 t2)
"
train_11,Craft a arrow.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Arrow)) ))
 )","(move-to t1 t10)
(pick-up i1 o10 t10)
(move-to t10 t3)
(pick-up i2 o11 t3)
(move-to t3 t8)
(craft-arrow i1 i2 i3 o2 o10 o11 o24 t8)","(move-to t1 t4)
(pick-up i1 o13 t4)
(move-to t4 t11)
(pick-up i2 o14 t11)
(move-to t11 t6)
(pick-up i3 o15 t6)
(move-to t6 t8)
(craft-arrow i1 i2 i3 o4 o5 o13 o14 o15 o24 t8)
"
train_12,Craft a bowl.,"(:goal
   (exists (?i - inventory) (exists (?o - object) (and (inventory-holding ?i ?o) (object-of-type ?o Bowl)) ))
 )","(move-to t1 t12)
(pick-up i1 o9 t12)
(move-to t12 t6)
(craft-bowl1 i1 i3 o7 o9 o23 t6)","(move-to t1 t6)
(pick-up i1 o13 t6)
(move-to t6 t8)
(craft-bowl i1 o4 o13 o24 t8)
"
