problem_id,attempt_id,minimum_n_operators,goal,success,plan,sampled_operators
train_0,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o BeetrootSoup))))
)",True,"(pick-up i1 o19 t1)
(move-to t1 t3)
(pick-up i2 o20 t3)
(move-to t3 t9)
(craft-beetroot-soup_0 t9 o7 i1 o19 i2 o20 i3 o22)",[]
train_1,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Paper))))
)",True,"(move-to t1 t5)
(pick-up i1 o21 t5)
(move-to t5 t2)
(craft-paper_0 t2 o1 i1 o21 i2 o22)",[]
train_2,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Shears))))
)",True,"(move-to t1 t4)
(pick-up i1 o13 t4)
(move-to t4 t10)
(craft-shears2_2 t10 o3 i1 o13 i2 o22)",[]
train_3,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Paper))))
)",True,"(move-to t1 t14)
(pick-up i1 o21 t14)
(move-to t14 t5)
(craft-paper_0 t5 o1 i1 o21 i2 o22)",[]
train_4,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Arrow))))
)",True,"(move-to t1 t8)
(pick-up i1 o10 t8)
(move-to t8 t3)
(pick-up i2 o11 t3)
(craft-arrow i1 i2 i3 o2 o10 o11 o22 t3)",[]
train_5,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o WoodPlank))))
)",True,"(move-to t1 t4)
(pick-up i1 o8 t4)
(move-to t4 t8)
(craft-wood-plank i1 i2 o1 o8 o21 t8)",[]
train_6,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Shears))))
)",True,"(move-to t1 t4)
(pick-up i1 o13 t4)
(move-to t4 t1)
(craft-shears2_2 t1 o3 i1 o13 i2 o22)",[]
train_7,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o BeetrootSoup))))
)",True,"(move-to t1 t5)
(pick-up i1 o19 t5)
(move-to t5 t10)
(pick-up i2 o20 t10)
(move-to t10 t11)
(craft-beetroot-soup_0 t11 o7 i1 o19 i2 o20 i3 o22)",[]
train_8,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Stick))))
)",True,"(move-to t1 t15)
(pick-up i1 o9 t15)
(move-to t15 t5)
(craft-stick_0 t5 o1 i1 o9 i2 o21)",[]
train_9,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o BeetrootSoup))))
)",True,"(move-to t1 t3)
(pick-up i1 o19 t3)
(move-to t3 t7)
(pick-up i2 o20 t7)
(move-to t7 t8)
(craft-beetroot-soup_0 t8 o7 i1 o19 i2 o20 i3 o22)",[]
train_10,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Paper))))
)",True,"(pick-up i1 o21 t1)
(move-to t1 t12)
(craft-paper_0 t12 o1 i1 o21 i2 o22)",[]
train_11,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Arrow))))
)",True,"(move-to t1 t10)
(pick-up i1 o10 t10)
(move-to t10 t3)
(pick-up i2 o11 t3)
(move-to t3 t8)
(craft-arrow i1 i2 i3 o2 o10 o11 o22 t8)",[]
train_12,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Bowl))))
)",True,"(move-to t1 t12)
(pick-up i1 o9 t12)
(move-to t12 t10)
(craft-bowl_1 t10 o1 i1 o9 i1 o9 i2 o21)",[]
train_13,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Paper))))
)",True,"(move-to t1 t2)
(pick-up i1 o21 t2)
(move-to t2 t7)
(craft-paper_0 t7 o1 i1 o21 i2 o22)",[]
train_14,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Arrow))))
)",True,"(move-to t1 t7)
(pick-up i1 o10 t7)
(move-to t7 t14)
(pick-up i2 o11 t14)
(move-to t14 t10)
(craft-arrow i1 i2 i3 o2 o10 o11 o22 t10)",[]
train_15,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o BeetrootSoup))))
)",True,"(move-to t1 t7)
(pick-up i1 o19 t7)
(move-to t7 t11)
(pick-up i2 o20 t11)
(move-to t11 t9)
(craft-beetroot-soup_0 t9 o7 i1 o19 i2 o20 i3 o22)",[]
train_16,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Sword))))
)",True,"(move-to t1 t11)
(pick-up i1 o10 t11)
(move-to t11 t4)
(pick-up i2 o12 t4)
(move-to t4 t12)
(craft-sword_0 t12 o2 i1 o10 i2 o12 i3 o22)",[]
train_17,0,10,"(:goal
	(exists (?i - inventory)
(exists (?o - object)
(and 
		(inventory-holding ?i ?o)
		(object-of-type ?o Bed))))
)",True,"(move-to t1 t15)
(pick-up i1 o9 t15)
(move-to t15 t1)
(pick-up i2 o17 t1)
(move-to t1 t2)
(craft-bed_1 t2 o5 i1 o9 i2 o17 i3 o22)",[]
