problem_id,goal,task_success,task_plan,task_plan_success_prefix
train_0,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o BeetrootSoup))))\n)', '(pick-up i1 o19 t1)\n(move-to t1 t9)\n(craft-beetroot-soup_2 t9 o7 i1 o19 i2 o22)')",False,"pick-up, move-to, craft-beetroot-soup_2","pick-up, move-to"
train_0,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o BeetrootSoup))))\n)', '(pick-up i1 o19 t1)\n(move-to t1 t9)\n(craft-beetroot-soup_1 t9 o7 i1 o19 i2 o22)')",False,"pick-up, move-to, craft-beetroot-soup_1","pick-up, move-to"
train_0,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o BeetrootSoup))))\n)', '(pick-up i1 o19 t1)\n(move-to t1 t9)\n(pick-up i2 o18 t9)\n(craft-beetroot-soup_2 t9 o7 i1 o19 i2 o18 i3 o22)')",False,"pick-up, move-to, pick-up, craft-beetroot-soup_2","pick-up, move-to, pick-up"
train_0,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o BeetrootSoup))))\n)', '(move-to t1 t9)\n(pick-up i1 o18 t9)\n(craft-beetroot-soup_1 t9 o7 i1 o18 i2 o22)')",False,"move-to, pick-up, craft-beetroot-soup_1","move-to, pick-up"
train_0,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o BeetrootSoup))))\n)', '(pick-up i1 o19 t1)\n(move-to t1 t9)\n(cook_1 t9 o7 i1 o19 i2 o22)')",False,"pick-up, move-to, cook_1","pick-up, move-to"
train_0,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o BeetrootSoup))))\n)', '(pick-up i1 o19 t1)\n(move-to t1 t9)\n(pick-up i2 o18 t9)\n(craft-beetroot-soup_1 t9 o7 i1 o19 i2 o18 i3 o22)')",False,"pick-up, move-to, pick-up, craft-beetroot-soup_1","pick-up, move-to, pick-up"
train_0,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o BeetrootSoup))))\n)', '(move-to t1 t9)\n(pick-up i1 o18 t9)\n(move-to t9 t1)\n(pick-up i2 o19 t1)\n(move-to t1 t9)\n(mix-ingredients_1 t9 o7 i1 o18 i2 o19 i3 o22)')",False,"move-to, pick-up, move-to, pick-up, move-to, mix-ingredients_1","move-to, pick-up, move-to, pick-up, move-to"
train_0,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o BeetrootSoup))))\n)', '(pick-up i1 o19 t1)\n(move-to t1 t9)\n(pick-up i2 o18 t9)\n(cook-potato_0 t9 o7 i2 o18 i3 o22)\n(craft-beetroot-soup_2 t9 o7 i1 o19 i3 o22 i2 o18)')",False,"pick-up, move-to, pick-up, cook-potato_0, craft-beetroot-soup_2","pick-up, move-to, pick-up, cook-potato_0"
train_0,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o BeetrootSoup))))\n)', '(pick-up i1 o19 t1)\n(move-to t1 t9)\n(pick-up i2 o18 t9)\n(cook_0 t9 o7 i2 o18 i3 o22)\n(craft-beetroot-soup_1 t9 o7 i1 o19 i3 o22 i2 o18)')",False,"pick-up, move-to, pick-up, cook_0, craft-beetroot-soup_1","pick-up, move-to, pick-up, cook_0"
train_0,"('(:goal\n\t(exists (?i - inventory)\n(exists (?o - object)\n(and \n\t\t(inventory-holding ?i ?o)\n\t\t(object-of-type ?o BeetrootSoup))))\n)', '(pick-up i1 o19 t1)\n(move-to t1 t9)\n(craft-soup_1 t9 o7 i1 o19 i2 o22)')",False,"pick-up, move-to, craft-soup_1","pick-up, move-to"
