problem,nl_goal,gt_pddl_goal,gt_plan,proposed_plan
train_3,Craft a stick.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Stick)
 ))","(move-to t1 t11)
(pick-up i1 o9 t11)
(move-to t11 t13)
(craft-stick i1 i3 o1 o9 o24 t13)","(move-to t1 t5)
(pick-up i1 o6 t5)
(craft-stick1 i1 i3 o2 o6 o24 t5)
"
train_3,Craft a stick.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Stick)
 ))","(move-to t1 t11)
(pick-up i1 o9 t11)
(move-to t11 t13)
(craft-stick i1 i3 o1 o9 o24 t13)","(move-to t1 t5)
(pick-up i1 o1 t5)
(move-to t5 t6)
(craft-stick i1 o1 o3 t6)
"
train_3,Craft a stick.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Stick)
 ))","(move-to t1 t11)
(pick-up i1 o9 t11)
(move-to t11 t13)
(craft-stick i1 i3 o1 o9 o24 t13)","(move-to t1 t8)
(pick-up i1 o10 t8)
(move-to t8 t5)
(craft-stick i1 i2 o10 o16 t5)
"
train_3,Craft a stick.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Stick)
 ))","(move-to t1 t11)
(pick-up i1 o9 t11)
(move-to t11 t13)
(craft-stick i1 i3 o1 o9 o24 t13)","(move-to t1 t8)
(chop i1 o1 t8)
(move-to t8 t6)
(pick-up i2 o2 t6)
(move-to t6 t2)
(chop i2 o4 t2)
(move-to t2 t5)
(organize o1 o2 o3 o6 o24 t5)
(craft-stick i1 i2 o3 o6 o24 t5)
"
train_3,Craft a stick.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 Stick)
 ))","(move-to t1 t11)
(pick-up i1 o9 t11)
(move-to t11 t13)
(craft-stick i1 i3 o1 o9 o24 t13)","(move-to t1 t8)
(pick-up i1 o4 t8)
(move-to t8 t3)
(craft-stick i1 i3 o2 o4 o24 t3)
"
train_4,Craft a iron ingot.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 IronIngot)
 ))","(move-to t1 t12)
(pick-up i1 o14 t12)
(move-to t12 t11)
(pick-up i2 o15 t11)
(move-to t11 t11)
(craft-iron-ingot i1 i2 i3 o4 o14 o15 o24 t11)","(move-to t1 t12)
(pick-up i1 o12 t12)
(move-to t12 t8)
(craft-iron-ingot i1 o12 o13 o24 t8)
"
train_4,Craft a iron ingot.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 IronIngot)
 ))","(move-to t1 t12)
(pick-up i1 o14 t12)
(move-to t12 t11)
(pick-up i2 o15 t11)
(move-to t11 t11)
(craft-iron-ingot i1 i2 i3 o4 o14 o15 o24 t11)","(move-to t1 t3)
(pick-up i1 o4 t3)
(move-to t3 t8)
(craft-iron-ingot i1 i3 o4 o24 t8)
"
train_4,Craft a iron ingot.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 IronIngot)
 ))","(move-to t1 t12)
(pick-up i1 o14 t12)
(move-to t12 t11)
(pick-up i2 o15 t11)
(move-to t11 t11)
(craft-iron-ingot i1 i2 i3 o4 o14 o15 o24 t11)","(move-to t1 t5)
(pick-up i1 o5 t5)
(move-to t5 t3)
(craft-iron-ingot i1 o5 o24 t3)
"
train_4,Craft a iron ingot.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 IronIngot)
 ))","(move-to t1 t12)
(pick-up i1 o14 t12)
(move-to t12 t11)
(pick-up i2 o15 t11)
(move-to t11 t11)
(craft-iron-ingot i1 i2 i3 o4 o14 o15 o24 t11)","(move-to t1 t5)
(pick-up i1 o5 t5)
(move-to t5 t12)
(smelt i1 o1 o5 o12 t12)
"
train_4,Craft a iron ingot.,"(:goal (and
   (inventory-holding i3 o24)
   (object-of-type o24 IronIngot)
 ))","(move-to t1 t12)
(pick-up i1 o14 t12)
(move-to t12 t11)
(pick-up i2 o15 t11)
(move-to t11 t11)
(craft-iron-ingot i1 i2 i3 o4 o14 o15 o24 t11)","(move-to t1 t4)
(pick-up i1 o5 t4)
(move-to t4 t5)
(smelt-iron-ore i1 i2 o3 o5 o6 t5)
"
